Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200122119,A,UNIFIED
0.875,85.83333333333333,71.16666666666667,81.42857142857143,0.75,0.625,0.875,20.61824891608526,1,Kompeten,60200125001,A,UNIFIED
0.625,76.33333333333333,55.666666666666664,73.14285714285714,0.75,0.5,0.875,27.597598153149388,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.5,85.5,83.71428571428571,0.75,0.75,0.875,5.183609369366371,1,Kompeten,60200125007,A,UNIFIED
0.75,73.33333333333333,38.333333333333336,86.0,0.75,0.375,0.875,31.422793745289468,1,Kompeten,60200125016,A,UNIFIED
0.625,13.333333333333334,13.333333333333334,21.142857142857142,0.125,0.125,0.25,31.55709770420064,0,Belum Kompeten,60200125017,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125018,A,UNIFIED
0.8125,68.33333333333333,55.0,76.28571428571429,0.75,0.5,0.875,28.083941251766767,1,Kompeten,60200125031,A,UNIFIED
0.875,81.25,81.16666666666667,80.21428571428571,0.75,0.75,0.875,8.47294864411214,1,Kompeten,60200125032,A,UNIFIED
1.0,85.5,71.33333333333333,88.35714285714286,0.75,0.625,0.875,19.627627653718605,1,Kompeten,60200125033,A,UNIFIED
0.875,82.5,67.33333333333333,81.28571428571429,0.75,0.625,0.875,19.88080826817969,1,Kompeten,60200125034,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125047,A,UNIFIED
1.0,87.33333333333333,73.16666666666667,81.07142857142857,0.75,0.625,0.875,20.117349632411496,1,Kompeten,60200125049,A,UNIFIED
0.875,84.5,56.666666666666664,84.07142857142857,0.75,0.5,0.875,26.45547139551671,1,Kompeten,60200125050,A,UNIFIED
0.5,27.5,27.5,21.428571428571427,0.25,0.25,0.25,37.39806089155898,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,83.83333333333333,83.83333333333333,76.85714285714286,0.75,0.75,0.875,8.727404541311286,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.83333333333333,81.83333333333333,84.0,0.75,0.75,0.875,7.6206818752502254,1,Kompeten,60200125074,A,UNIFIED
0.8125,82.83333333333333,54.833333333333336,85.07142857142857,0.75,0.5,0.875,25.858527315047294,1,Kompeten,60200125075,A,UNIFIED
0.25,13.333333333333334,13.333333333333334,0.0,0.125,0.125,0.0,24.551376399348634,0,Belum Kompeten,60200125077,A,UNIFIED
0.875,77.16666666666667,70.5,81.0,0.75,0.625,0.875,21.330404346483625,1,Kompeten,60200125078,A,UNIFIED
0.875,77.66666666666667,70.16666666666667,79.28571428571429,0.75,0.625,0.875,23.517394988306233,1,Kompeten,60200125099,A,UNIFIED
1.0,81.5,80.66666666666667,82.71428571428571,0.75,0.75,0.875,7.269638603765863,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.66666666666667,85.66666666666667,83.71428571428571,0.75,0.75,0.875,4.920137826594595,1,Kompeten,60200125101,A,UNIFIED
1.0,81.58333333333333,81.58333333333333,83.42857142857143,0.75,0.75,0.875,6.909886930776935,1,Kompeten,60200125114,A,UNIFIED
0.75,53.833333333333336,53.833333333333336,27.0,0.5,0.5,0.375,38.66383279964627,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.16666666666667,83.16666666666667,83.42857142857143,0.75,0.75,0.875,4.763812109768239,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,9.285714285714286,0.0,0.0,0.125,14.514297087513345,0,Belum Kompeten,60200125118,A,UNIFIED
0.75,57.166666666666664,57.166666666666664,42.42857142857143,0.5,0.5,0.5,40.30259506502117,1,Kompeten,60200125119,A,UNIFIED
0.875,84.83333333333333,70.33333333333333,82.64285714285714,0.75,0.625,0.875,19.386576159292684,1,Kompeten,60200125120,A,UNIFIED
0.875,70.83333333333333,70.83333333333333,54.0,0.625,0.625,0.625,34.651589963241356,1,Kompeten,60200125121,A,UNIFIED
1.0,82.0,81.16666666666667,82.92857142857143,0.75,0.75,0.875,7.611043150536934,1,Kompeten,60200125122,A,UNIFIED
0.9375,74.66666666666667,68.0,81.28571428571429,0.75,0.625,0.875,21.0894086663125,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.83333333333333,84.83333333333333,83.14285714285714,0.75,0.75,0.875,4.990295291003604,1,Kompeten,60200125151,A,UNIFIED
0.75,55.5,55.5,34.07142857142857,0.5,0.5,0.375,40.86710778382731,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,83.33333333333333,83.33333333333333,89.57142857142857,0.75,0.75,0.875,6.447851754171098,1,Kompeten,60200125154,A,UNIFIED
0.375,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125002,B,UNIFIED
0.5,34.125,34.125,5.375,0.375,0.375,0.125,39.43557950069398,0,Belum Kompeten,60200125008,B,UNIFIED
1.0,90.125,90.125,58.4375,1.0,1.0,1.0,20.24192868980951,1,Kompeten,60200125009,B,UNIFIED
1.0,92.0,92.0,76.5625,1.0,1.0,1.0,15.021151175555383,1,Kompeten,60200125019,B,UNIFIED
1.0,93.375,93.375,82.375,1.0,1.0,1.0,12.38271364532921,1,Kompeten,60200125020,B,UNIFIED
1.0,92.25,92.25,81.3125,1.0,1.0,1.0,11.907612381955037,1,Kompeten,60200125021,B,UNIFIED
1.0,81.625,81.625,48.3125,0.875,0.875,0.875,33.836149051552674,1,Kompeten,60200125035,B,UNIFIED
1.0,92.0,92.0,51.25,1.0,1.0,1.0,23.307575068109415,0,Belum Kompeten,60200125036,B,UNIFIED
0.75,60.0,60.0,43.0,0.625,0.625,0.875,41.232740496950825,1,Kompeten,60200125048,B,UNIFIED
0.5,35.875,35.875,5.375,0.375,0.375,0.125,41.39492638664255,1,Kompeten,60200125054,B,UNIFIED
1.0,89.25,89.25,64.25,1.0,1.0,1.0,18.89260584343927,1,Kompeten,60200125055,B,UNIFIED
1.0,90.125,90.125,64.125,1.0,1.0,1.0,18.5151495778157,1,Kompeten,60200125056,B,UNIFIED
1.0,90.75,90.75,36.4375,1.0,1.0,0.75,29.829543229918148,1,Kompeten,60200125057,B,UNIFIED
0.875,91.125,91.125,76.875,1.0,1.0,1.0,15.175535410653556,1,Kompeten,60200125058,B,UNIFIED
0.875,70.25,70.25,58.9375,0.75,0.75,0.75,40.260733342868406,1,Kompeten,60200125072,B,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,1,Kompeten,60200125079,B,UNIFIED
0.375,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125080,B,UNIFIED
0.5,12.5,12.5,10.0,0.125,0.125,0.125,31.046560016995265,0,Belum Kompeten,60200125081,B,UNIFIED
0.625,37.5,37.5,53.6875,0.375,0.375,1.0,41.86012899293976,1,Kompeten,60200125094,B,UNIFIED
0.875,60.0,60.0,75.375,0.625,0.625,0.875,42.33405101097697,1,Kompeten,60200125096,B,UNIFIED
0.625,35.875,35.875,0.0,0.375,0.375,0.0,41.538051497659616,0,Belum Kompeten,60200125102,B,UNIFIED
1.0,80.25,80.25,81.75,0.875,0.875,1.0,26.862303202319293,1,Kompeten,60200125103,B,UNIFIED
1.0,91.625,91.625,82.1875,1.0,1.0,1.0,12.109293234490975,1,Kompeten,60200125104,B,UNIFIED
1.0,79.125,79.125,75.9375,0.875,0.875,1.0,27.63765264544006,1,Kompeten,60200125113,B,UNIFIED
0.875,78.0,78.0,57.625,0.875,0.875,1.0,28.820535454583226,1,Kompeten,60200125115,B,UNIFIED
0.875,56.75,56.75,71.75,0.625,0.625,0.875,41.01092334163342,1,Kompeten,60200125123,B,UNIFIED
0.625,32.75,32.75,5.375,0.375,0.375,0.125,38.10163218288687,1,Kompeten,60200125124,B,UNIFIED
0.75,58.875,58.875,59.5625,0.625,0.625,1.0,39.7696437747715,0,Belum Kompeten,60200125125,B,UNIFIED
0.875,58.0,58.0,47.375,0.625,0.625,0.875,40.084784277273535,1,Kompeten,60200125126,B,UNIFIED
0.875,55.0,55.0,36.9375,0.625,0.625,0.5,42.950184120352986,0,Belum Kompeten,60200125127,B,UNIFIED
1.0,80.75,80.75,47.5,0.875,0.875,1.0,31.372316175606514,1,Kompeten,60200125128,B,UNIFIED
0.875,56.0,56.0,43.1875,0.625,0.625,0.75,40.7272378059887,1,Kompeten,60200125129,B,UNIFIED
0.625,22.5,22.5,15.625,0.25,0.25,0.25,36.31572107534453,0,Belum Kompeten,60200125153,B,UNIFIED
1.0,69.5,69.5,48.75,0.75,0.75,0.875,37.72672203565472,1,Kompeten,60200125155,B,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125003,C,UNIFIED
1.0,83.0,83.0,87.5,0.75,0.75,0.875,6.688664077886884,1,Kompeten,60200125010,C,UNIFIED
1.0,85.0,70.66666666666667,85.57142857142857,0.75,0.625,0.875,19.135397432586736,1,Kompeten,60200125011,C,UNIFIED
1.0,83.0,83.0,84.39285714285714,0.75,0.75,0.875,5.095453135814299,1,Kompeten,60200125022,C,UNIFIED
1.0,85.16666666666667,85.16666666666667,84.57142857142857,0.75,0.75,0.875,3.103032204838668,0,Belum Kompeten,60200125023,C,UNIFIED
1.0,85.83333333333333,82.66666666666667,84.78571428571429,0.75,0.75,0.875,5.11420811599798,1,Kompeten,60200125024,C,UNIFIED
0.75,82.33333333333333,54.666666666666664,76.21428571428571,0.75,0.5,0.875,26.21773838633269,0,Belum Kompeten,60200125038,C,UNIFIED
0.875,86.66666666666667,86.66666666666667,84.57142857142857,0.75,0.75,0.875,2.803094846811575,1,Kompeten,60200125039,C,UNIFIED
1.0,83.66666666666667,68.33333333333333,85.0,0.75,0.625,0.875,19.78117827255029,1,Kompeten,60200125040,C,UNIFIED
0.875,80.33333333333333,66.16666666666667,82.14285714285714,0.75,0.625,0.875,19.84908435128652,0,Belum Kompeten,60200125046,C,UNIFIED
0.75,77.0,57.0,72.64285714285714,0.75,0.5,0.875,27.377124122298827,0,Belum Kompeten,60200125059,C,UNIFIED
1.0,77.25,80.83333333333333,81.85714285714286,0.75,0.75,0.875,7.423758371987262,1,Kompeten,60200125060,C,UNIFIED
0.25,27.666666666666668,27.666666666666668,21.428571428571427,0.25,0.25,0.25,37.56707758875525,0,Belum Kompeten,60200125061,C,UNIFIED
0.9375,86.33333333333333,68.83333333333333,85.64285714285714,0.75,0.625,0.875,19.67090741013109,1,Kompeten,60200125062,C,UNIFIED
0.5,70.66666666666667,56.833333333333336,21.071428571428573,0.625,0.5,0.25,41.19161695635684,0,Belum Kompeten,60200125063,C,UNIFIED
0.375,68.5,28.0,52.142857142857146,0.75,0.25,0.875,29.947414670207557,0,Belum Kompeten,60200125073,C,UNIFIED
1.0,87.33333333333333,87.33333333333333,85.25,0.75,0.75,0.875,2.818923489541566,1,Kompeten,60200125083,C,UNIFIED
0.625,66.91666666666667,39.333333333333336,82.14285714285714,0.75,0.375,0.875,30.90997561949514,0,Belum Kompeten,60200125084,C,UNIFIED
0.875,86.5,86.5,86.35714285714286,0.75,0.75,0.875,2.3558144018247438,0,Belum Kompeten,60200125085,C,UNIFIED
0.875,81.66666666666667,82.66666666666667,81.24285714285715,0.75,0.75,0.875,4.996929805312896,0,Belum Kompeten,60200125086,C,UNIFIED
1.0,85.83333333333333,85.83333333333333,85.07142857142857,0.75,0.75,0.875,2.223645281502906,1,Kompeten,60200125087,C,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125088,C,UNIFIED
1.0,85.5,85.5,85.5,0.75,0.75,0.875,2.3395906074624073,1,Kompeten,60200125105,C,UNIFIED
0.25,76.5,14.166666666666666,71.21428571428571,0.75,0.125,0.875,35.3158090830599,0,Belum Kompeten,60200125106,C,UNIFIED
1.0,86.16666666666667,86.16666666666667,84.71428571428571,0.75,0.75,0.875,2.3555204211158154,0,Belum Kompeten,60200125107,C,UNIFIED
0.375,28.5,28.5,15.142857142857142,0.25,0.25,0.25,35.97121040275591,0,Belum Kompeten,60200125130,C,UNIFIED
0.625,67.16666666666667,67.16666666666667,68.5,0.625,0.625,0.75,29.82318624280662,0,Belum Kompeten,60200125131,C,UNIFIED
0.75,84.5,70.83333333333333,83.71428571428571,0.75,0.625,0.875,19.432459921866773,1,Kompeten,60200125132,C,UNIFIED
0.75,82.0,82.0,82.0,0.75,0.75,0.875,5.614829987584102,1,Kompeten,60200125133,C,UNIFIED
0.375,76.75,28.75,78.28571428571429,0.75,0.25,0.875,33.66282215691172,1,Kompeten,60200125134,C,UNIFIED
0.25,55.0,28.333333333333332,49.714285714285715,0.75,0.25,0.75,31.259879324809656,0,Belum Kompeten,60200125135,C,UNIFIED
0.125,13.333333333333334,13.333333333333334,9.285714285714286,0.125,0.125,0.125,27.492129319411323,0,Belum Kompeten,60200125136,C,UNIFIED
1.0,85.0,84.83333333333333,81.78571428571429,0.75,0.75,0.875,4.691449167459744,0,Belum Kompeten,60200125137,C,UNIFIED
0.8125,78.16666666666667,71.5,75.71428571428571,0.75,0.625,0.875,21.890909331440316,1,Kompeten,60200125156,C,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200123102,D,UNIFIED
1.0,93.625,93.625,53.75,1.0,1.0,0.875,26.059094168617772,1,Kompeten,60200125004,D,UNIFIED
0.625,22.5,22.5,0.0,0.25,0.25,0.0,33.78855822118882,0,Belum Kompeten,60200125012,D,UNIFIED
1.0,81.125,81.125,58.875,0.875,0.875,1.0,30.321168577231465,1,Kompeten,60200125013,D,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125025,D,UNIFIED
1.0,94.375,94.375,67.9375,1.0,1.0,1.0,18.496797301605127,1,Kompeten,60200125026,D,UNIFIED
1.0,81.75,81.75,59.125,0.875,0.875,1.0,30.70522372315318,1,Kompeten,60200125027,D,UNIFIED
1.0,93.0,93.0,48.5625,1.0,1.0,0.75,29.78737585650449,1,Kompeten,60200125030,D,UNIFIED
1.0,92.25,92.25,52.4375,1.0,1.0,1.0,22.31940447171972,1,Kompeten,60200125041,D,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125043,D,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125052,D,UNIFIED
1.0,94.0,94.0,58.75,1.0,1.0,1.0,21.95402392880783,1,Kompeten,60200125064,D,UNIFIED
0.5,12.5,12.5,5.6875,0.125,0.125,0.125,28.547467476215044,0,Belum Kompeten,60200125065,D,UNIFIED
1.0,93.75,93.75,58.9375,1.0,1.0,1.0,21.91483476184315,1,Kompeten,60200125066,D,UNIFIED
1.0,91.5,91.5,75.625,1.0,1.0,1.0,15.359522471599028,1,Kompeten,60200125067,D,UNIFIED
0.875,82.5,82.5,48.1875,0.875,0.875,1.0,32.26172671164187,0,Belum Kompeten,60200125068,D,UNIFIED
1.0,81.125,81.125,52.5,0.875,0.875,1.0,31.189496985719764,1,Kompeten,60200125071,D,UNIFIED
1.0,94.125,94.125,51.9375,1.0,1.0,0.875,26.584108857548713,1,Kompeten,60200125076,D,UNIFIED
1.0,94.25,94.25,58.75,1.0,1.0,1.0,21.606647639609022,1,Kompeten,60200125082,D,UNIFIED
1.0,81.625,81.625,64.625,0.875,0.875,1.0,29.947842391212244,1,Kompeten,60200125089,D,UNIFIED
1.0,94.25,94.25,58.75,1.0,1.0,1.0,21.838739788631475,1,Kompeten,60200125090,D,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125092,D,UNIFIED
1.0,91.625,91.625,58.8125,1.0,1.0,1.0,21.585494985058833,1,Kompeten,60200125093,D,UNIFIED
0.625,25.0,25.0,5.6875,0.25,0.25,0.125,37.528131809128645,0,Belum Kompeten,60200125097,D,UNIFIED
1.0,92.375,92.375,70.375,1.0,1.0,1.0,17.370303122155228,1,Kompeten,60200125108,D,UNIFIED
0.875,80.875,80.875,59.25,0.875,0.875,1.0,30.65488904273219,0,Belum Kompeten,60200125109,D,UNIFIED
0.875,81.75,81.75,69.3125,0.875,0.875,1.0,29.213288631013267,1,Kompeten,60200125110,D,UNIFIED
