Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,84.75,84.75,76.5,1.0,1.0,1.0,1,Kompeten,60200125001,A,UNIFIED
0.75,71.5,61.5,66.875,1.0,0.75,1.0,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,84.75,84.75,80.875,1.0,1.0,1.0,1,Kompeten,60200125007,A,UNIFIED
0.75,72.25,42.0,85.125,1.0,0.5,1.0,1,Kompeten,60200125016,A,UNIFIED
0.75,20.0,20.0,20.75,0.25,0.25,0.25,0,Belum Kompeten,60200125017,A,UNIFIED
0.875,60.75,40.75,68.375,1.0,0.5,1.0,1,Kompeten,60200125031,A,UNIFIED
1.0,84.75,84.75,84.75,1.0,1.0,1.0,1,Kompeten,60200125032,A,UNIFIED
1.0,85.0,63.75,86.25,1.0,0.75,1.0,1,Kompeten,60200125033,A,UNIFIED
0.75,86.5,63.75,76.5,1.0,0.75,1.0,1,Kompeten,60200125034,A,UNIFIED
1.0,87.5,66.25,76.25,1.0,0.75,1.0,1,Kompeten,60200125049,A,UNIFIED
1.0,83.25,63.0,86.125,1.0,0.75,1.0,1,Kompeten,60200125050,A,UNIFIED
1.0,41.25,41.25,21.25,0.5,0.5,0.25,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,82.75,82.75,70.5,1.0,1.0,1.0,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,85.75,85.75,81.75,1.0,1.0,1.0,1,Kompeten,60200125074,A,UNIFIED
0.75,80.75,60.75,84.125,1.0,0.75,1.0,1,Kompeten,60200125075,A,UNIFIED
0.5,20.0,20.0,0.0,0.25,0.25,0.0,0,Belum Kompeten,60200125077,A,UNIFIED
1.0,84.0,84.0,76.25,1.0,1.0,1.0,1,Kompeten,60200125078,A,UNIFIED
0.75,73.25,63.25,69.0,1.0,0.75,1.0,1,Kompeten,60200125099,A,UNIFIED
1.0,83.75,83.75,80.25,1.0,1.0,1.0,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.5,85.5,81.25,1.0,1.0,1.0,1,Kompeten,60200125101,A,UNIFIED
1.0,84.625,84.625,81.0,1.0,1.0,1.0,1,Kompeten,60200125114,A,UNIFIED
0.75,60.75,60.75,31.0,0.75,0.75,0.5,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,82.75,82.75,80.25,1.0,1.0,1.0,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125118,A,UNIFIED
