Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,84.75,84.75,76.5,1.0,1.0,1.0,9.797958971132712,1,Kompeten,60200125001,A,UNIFIED
0.75,71.5,61.5,66.875,1.0,0.75,1.0,25.52868076628063,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,84.75,84.75,80.875,1.0,1.0,1.0,5.4484643606147305,1,Kompeten,60200125007,A,UNIFIED
0.75,72.25,42.0,85.125,1.0,0.5,1.0,32.19178099902037,1,Kompeten,60200125016,A,UNIFIED
0.75,20.0,20.0,20.75,0.25,0.25,0.25,35.08115591026043,0,Belum Kompeten,60200125017,A,UNIFIED
0.875,60.75,40.75,68.375,1.0,0.5,1.0,30.757875007874,1,Kompeten,60200125031,A,UNIFIED
1.0,84.75,84.75,84.75,1.0,1.0,1.0,1.5877132402714709,1,Kompeten,60200125032,A,UNIFIED
1.0,85.0,63.75,86.25,1.0,0.75,1.0,23.827796559667217,1,Kompeten,60200125033,A,UNIFIED
0.75,86.5,63.75,76.5,1.0,0.75,1.0,23.814240604217378,1,Kompeten,60200125034,A,UNIFIED
1.0,87.5,66.25,76.25,1.0,0.75,1.0,24.33904042662506,1,Kompeten,60200125049,A,UNIFIED
1.0,83.25,63.0,86.125,1.0,0.75,1.0,23.49863323448598,1,Kompeten,60200125050,A,UNIFIED
1.0,41.25,41.25,21.25,0.5,0.5,0.25,40.95008818332657,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,82.75,82.75,70.5,1.0,1.0,1.0,9.832627093282627,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,85.75,85.75,81.75,1.0,1.0,1.0,5.630398643869623,1,Kompeten,60200125074,A,UNIFIED
0.75,80.75,60.75,84.125,1.0,0.75,1.0,22.76918452402038,1,Kompeten,60200125075,A,UNIFIED
0.5,20.0,20.0,0.0,0.25,0.25,0.0,29.814239699997195,0,Belum Kompeten,60200125077,A,UNIFIED
1.0,84.0,84.0,76.25,1.0,1.0,1.0,6.560085534672717,1,Kompeten,60200125078,A,UNIFIED
0.75,73.25,63.25,69.0,1.0,0.75,1.0,26.769074196418025,1,Kompeten,60200125099,A,UNIFIED
1.0,83.75,83.75,80.25,1.0,1.0,1.0,4.694115701835886,0,Belum Kompeten,60200125100,A,UNIFIED
