Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,84.75,84.75,76.5,1.0,1.0,1.0,9.797958971132712,0.4330127018922193,0.4330127018922193,15.56438241627338,84.0,85.0,84.0,85.0,50.0,89.0,-0.5,-0.5,22.0,84.5,84.5,87.5,-0.5,-0.5,22.0,86.5,1,Kompeten,60200125001,A,UNIFIED
0.75,71.5,61.5,66.875,1.0,0.75,1.0,25.52868076628063,18.567444627627143,35.703641270884404,16.898132293244718,40.0,88.0,0.0,88.0,50.0,85.0,-25.0,-45.0,1.25,59.0,39.0,67.5,-25.0,-45.0,1.25,68.71875,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,84.75,84.75,80.875,1.0,1.0,1.0,5.4484643606147305,3.112474899497183,3.112474899497183,7.724757277740188,80.0,88.0,80.0,88.0,67.5,85.5,-5.5,-5.5,8.75,82.0,82.0,85.25,-5.5,-5.5,8.75,87.59375,1,Kompeten,60200125007,A,UNIFIED
0.75,72.25,42.0,85.125,1.0,0.5,1.0,32.19178099902037,18.872930350107268,42.09513035969837,0.739509972887452,40.0,88.0,0.0,88.0,84.0,86.0,-23.5,-84.0,0.25,60.5,0.0,85.25,-23.5,-84.0,0.25,68.59375,1,Kompeten,60200125016,A,UNIFIED
0.75,20.0,20.0,20.75,0.25,0.25,0.25,35.08115591026043,34.64101615137755,34.64101615137755,35.94005425705421,0.0,80.0,0.0,80.0,0.0,83.0,-40.0,-40.0,-41.5,0.0,0.0,0.0,-40.0,-40.0,-41.5,33.9375,0,Belum Kompeten,60200125017,A,UNIFIED
0.875,60.75,40.75,68.375,1.0,0.5,1.0,30.757875007874,20.777090749188154,40.76380134383936,18.375850320461364,40.0,83.0,0.0,83.0,50.0,87.0,-41.5,-81.5,-0.25,40.0,0.0,68.25,-41.5,-81.5,-0.25,64.34375,1,Kompeten,60200125031,A,UNIFIED
1.0,84.75,84.75,84.75,1.0,1.0,1.0,1.5877132402714709,1.6393596310755,1.6393596310755,1.479019945774904,82.0,86.0,82.0,86.0,82.5,86.5,-1.5,-1.5,2.5,84.0,84.0,86.0,-1.5,-1.5,2.5,88.5625,1,Kompeten,60200125032,A,UNIFIED
1.0,85.0,63.75,86.25,1.0,0.75,1.0,23.827796559667217,3.5355339059327378,36.9754986443726,1.9525624189766635,80.0,90.0,0.0,90.0,83.0,88.0,0.0,-42.5,1.5,85.0,42.5,87.0,0.0,-42.5,1.5,83.75,1,Kompeten,60200125033,A,UNIFIED
0.75,86.5,63.75,76.5,1.0,0.75,1.0,23.814240604217378,2.692582403567252,36.83323906473608,8.796306042879591,83.0,90.0,0.0,87.0,67.5,86.5,-5.0,40.5,1.0,84.0,84.0,77.0,-5.0,40.5,1.0,75.4375,1,Kompeten,60200125034,A,UNIFIED
1.0,87.5,66.25,76.25,1.0,0.75,1.0,24.33904042662506,2.5,38.3038836151114,8.814051281902097,85.0,90.0,0.0,90.0,67.5,86.5,-5.0,-47.5,1.5,85.0,42.5,77.0,-5.0,-47.5,1.5,82.5,1,Kompeten,60200125049,A,UNIFIED
1.0,83.25,63.0,86.125,1.0,0.75,1.0,23.49863323448598,2.7726341266023544,36.45545226711637,1.4737282653189494,80.0,86.0,0.0,86.0,84.5,88.5,0.5,-40.0,2.25,83.5,43.0,87.25,0.5,-40.0,2.25,83.09375,1,Kompeten,60200125050,A,UNIFIED
1.0,41.25,41.25,21.25,0.5,0.5,0.25,40.95008818332657,41.287861412284364,41.287861412284364,36.80607966083864,0.0,85.0,0.0,85.0,0.0,85.0,-82.5,-82.5,-42.5,0.0,0.0,0.0,-82.5,-82.5,-42.5,50.9375,0,Belum Kompeten,60200125051,A,UNIFIED
1.0,82.75,82.75,70.5,1.0,1.0,1.0,9.832627093282627,1.479019945774904,1.479019945774904,13.624426593438713,81.0,85.0,81.0,85.0,50.0,84.5,-2.5,-2.5,10.0,81.5,81.5,75.5,-2.5,-2.5,10.0,84.0,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,85.75,85.75,81.75,1.0,1.0,1.0,5.630398643869623,2.680951323690902,2.680951323690902,8.370334521391603,83.0,90.0,83.0,90.0,67.5,88.0,-4.5,-4.5,12.0,83.5,83.5,87.75,-4.5,-4.5,12.0,88.3125,1,Kompeten,60200125074,A,UNIFIED
0.75,80.75,60.75,84.125,1.0,0.75,1.0,22.76918452402038,1.299038105676658,35.0954056822257,1.6345871038277526,80.0,83.0,0.0,83.0,82.5,86.0,1.5,41.5,3.25,81.5,81.5,85.75,1.5,41.5,3.25,75.15625,1,Kompeten,60200125075,A,UNIFIED
0.5,20.0,20.0,0.0,0.25,0.25,0.0,29.814239699997195,34.64101615137755,34.64101615137755,0.0,0.0,80.0,0.0,80.0,0.0,0.0,-40.0,-40.0,0.0,0.0,0.0,0.0,-40.0,-40.0,0.0,22.5,0,Belum Kompeten,60200125077,A,UNIFIED
1.0,84.0,84.0,76.25,1.0,1.0,1.0,6.560085534672717,1.8708286933869707,1.8708286933869707,9.058835465996719,82.0,87.0,82.0,87.0,66.5,86.5,-2.0,-2.0,18.0,83.0,83.0,85.25,-2.0,-2.0,18.0,86.0625,1,Kompeten,60200125078,A,UNIFIED
0.75,73.25,63.25,69.0,1.0,0.75,1.0,26.769074196418025,19.66437133498043,36.76530293632843,19.0,40.0,90.0,0.0,90.0,50.0,88.0,-28.5,-48.5,0.0,59.0,39.0,69.0,-28.5,-48.5,0.0,70.125,1,Kompeten,60200125099,A,UNIFIED
1.0,83.75,83.75,80.25,1.0,1.0,1.0,4.694115701835886,1.920286436967152,1.920286436967152,7.110731326663946,82.0,87.0,82.0,87.0,68.0,85.5,-2.5,-2.5,9.0,82.5,82.5,84.75,-2.5,-2.5,9.0,86.9375,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.5,85.5,81.25,1.0,1.0,1.0,5.357367720148477,2.29128784747792,2.29128784747792,7.9726093595509875,82.0,88.0,82.0,88.0,67.5,87.0,-4.0,-4.0,8.0,83.5,83.5,85.25,-4.0,-4.0,8.0,88.0625,1,Kompeten,60200125101,A,UNIFIED
1.0,84.625,84.625,81.0,1.0,1.0,1.0,4.9490459237670805,1.6345871038277526,1.6345871038277526,7.705517503711221,82.0,86.5,82.0,86.5,68.0,87.0,-2.25,-2.25,11.5,83.5,83.5,86.75,-2.25,-2.25,11.5,87.5625,1,Kompeten,60200125114,A,UNIFIED
