Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.875,85.83333333333333,71.16666666666667,81.42857142857143,0.75,0.625,0.875,20.61824891608526,1.5723301886761007,31.850780559072994,13.58683336235219,84.0,88.0,0.0,88.0,50.0,92.5,3.25,-40.75,11.5,,,80.0,3.25,-40.75,11.5,81.48214285714286,1,Kompeten,60200125001,A,UNIFIED
0.625,76.33333333333333,55.666666666666664,73.14285714285714,0.75,0.5,0.875,27.597598153149388,16.669999666733318,39.53760516549051,16.55017109474419,40.0,88.0,0.0,88.0,50.0,90.0,14.5,-17.5,14.625,,,65.0,14.5,-17.5,14.625,66.91071428571428,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.5,85.5,83.71428571428571,0.75,0.75,0.875,5.183609369366371,2.8136571693556887,2.8136571693556887,7.572776160399184,80.0,88.0,80.0,88.0,67.5,92.5,2.25,2.25,6.625,,,80.0,2.25,2.25,6.625,88.67857142857143,1,Kompeten,60200125007,A,UNIFIED
0.75,73.33333333333333,38.333333333333336,86.0,0.75,0.375,0.875,31.422793745289468,17.336538165261125,39.09674609933102,3.5355339059327378,40.0,89.0,0.0,88.0,80.0,91.5,3.25,-11.0,2.0416666666666714,,,80.0,3.25,-11.0,2.0416666666666714,68.16666666666666,1,Kompeten,60200125016,A,UNIFIED
0.625,13.333333333333334,13.333333333333334,21.142857142857142,0.125,0.125,0.25,31.55709770420064,29.8142396999972,29.8142396999972,33.77415990888627,0.0,80.0,0.0,80.0,0.0,83.0,-20.0,-20.0,0.9166666666666679,,,65.0,-20.0,-20.0,0.9166666666666679,27.577380952380953,0,Belum Kompeten,60200125017,A,UNIFIED
0.8125,68.33333333333333,55.0,76.28571428571429,0.75,0.5,0.875,28.083941251766767,20.07209228976613,38.91015291668744,16.928119342968845,40.0,84.0,0.0,84.0,50.0,91.0,22.75,42.75,18.45833333333333,,,80.0,22.75,42.75,18.45833333333333,70.2172619047619,1,Kompeten,60200125031,A,UNIFIED
0.875,81.25,81.16666666666667,80.21428571428571,0.75,0.75,0.875,8.47294864411214,7.830229881682913,7.797791710193057,9.463679225850585,64.0,86.0,64.0,86.0,65.0,91.0,-10.5,-10.75,-10.583333333333329,,,65.0,-10.5,-10.75,-10.583333333333329,82.5327380952381,1,Kompeten,60200125032,A,UNIFIED
1.0,85.5,71.33333333333333,88.35714285714286,0.75,0.625,0.875,19.627627653718605,3.095695936834452,32.05030767749699,2.924212784351246,80.0,90.0,0.0,90.0,83.0,92.5,1.5,22.75,4.916666666666671,,,90.0,1.5,22.75,4.916666666666671,86.29761904761904,1,Kompeten,60200125033,A,UNIFIED
0.875,82.5,67.33333333333333,81.28571428571429,0.75,0.625,0.875,19.88080826817969,7.455423082115014,30.804040139061126,9.361231385946216,67.0,90.0,0.0,87.0,67.5,92.5,-12.0,10.75,11.166666666666671,,,80.0,-12.0,10.75,11.166666666666671,79.6547619047619,1,Kompeten,60200125034,A,UNIFIED
1.0,87.33333333333333,73.16666666666667,81.07142857142857,0.75,0.625,0.875,20.117349632411496,2.1343747458109497,32.774058169364515,9.351961488023216,85.0,90.0,0.0,90.0,67.5,91.5,-0.5,20.75,11.25,,,80.0,-0.5,20.75,11.25,85.39285714285714,1,Kompeten,60200125049,A,UNIFIED
