TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
85.4,1.3564659966250536,84.0,88.0,86.5,85.0,0.6666666666666714,85.4,1.3564659966250536,84.0,88.0,86.5,0.6666666666666714,79.5,15.15915564930976,50.0,91.5,88.75,23.33333333333333,1.0,0,0,1.0,1.0,1.0,83.43333333333334,9.2499849849728,87.25,8.75,1,Kompeten,60200125001,A,UNIFIED
74.0,17.34358671094304,40.0,88.0,81.0,84.0,-16.66666666666667,49.2,40.31079259950119,0.0,88.0,39.0,-58.0,71.5,17.72004514666935,50.0,90.0,70.0,8.75,0.8,1,0,1.0,0.6,1.0,64.9,29.51056308058749,63.333333333333336,-14.749999999999993,0,Belum Kompeten,60200125006,A,UNIFIED
85.0,2.8284271247461903,80.0,88.0,83.0,87.5,-4.166666666666671,85.0,2.8284271247461903,80.0,88.0,83.0,-4.166666666666671,83.2,8.328265125462805,67.5,92.5,89.0,11.166666666666671,1.0,0,0,1.0,1.0,1.0,84.4,5.401234426807759,85.0,1.1666666666666714,1,Kompeten,60200125007,A,UNIFIED
70.2,17.37124060048677,40.0,88.0,71.5,84.0,-23.0,46.0,38.49155751590211,0.0,88.0,31.0,-63.33333333333333,86.1,2.0591260281974,84.0,90.0,87.75,1.8333333333333286,0.6,2,0,1.0,0.6,1.0,67.43333333333334,29.456672513295786,63.416666666666664,-20.916666666666664,1,Kompeten,60200125016,A,UNIFIED
16.0,32.0,0.0,80.0,0.0,40.0,-40.0,16.0,32.0,0.0,80.0,0.0,-40.0,16.6,33.20000000000001,0.0,83.0,0.0,-41.5,0.7,0,3,0.2,0.2,0.2,16.2,32.40617225159429,0.0,-40.5,0,Belum Kompeten,60200125017,A,UNIFIED
65.2,20.604853797103246,40.0,83.0,61.5,81.5,-27.166666666666664,49.2,40.18656491913684,0.0,83.0,41.5,-53.83333333333333,72.9,18.762729012593027,50.0,91.0,88.75,7.333333333333329,0.7,1,1,1.0,0.6,1.0,62.43333333333333,29.910347522034726,63.916666666666664,-13.250000000000007,1,Kompeten,60200125031,A,UNIFIED
80.6,8.42852300228219,64.0,86.0,73.0,85.5,-8.166666666666671,80.6,8.42852300228219,64.0,86.0,73.0,-8.166666666666671,81.1,7.418894796396563,66.5,86.5,76.5,-4.0,1.0,0,0,1.0,1.0,1.0,80.76666666666667,8.109390989601021,74.16666666666667,-10.666666666666657,1,Kompeten,60200125032,A,UNIFIED
85.0,3.1622776601683795,80.0,90.0,85.0,85.0,0.0,68.0,34.14674215792775,0.0,90.0,42.5,-28.333333333333336,87.5,3.0495901363953815,83.0,92.5,89.5,3.3333333333333286,1.0,0,0,1.0,0.8,1.0,80.16666666666667,21.68307071324437,72.33333333333333,-12.833333333333343,1,Kompeten,60200125033,A,UNIFIED
82.6,8.16333265278342,67.0,90.0,75.0,89.0,-10.666666666666671,64.4,32.970289655991806,0.0,87.0,75.0,34.83333333333333,79.7,10.141991914806479,67.5,92.5,89.5,6.166666666666671,0.8,1,0,1.0,0.8,1.0,75.56666666666666,21.968057619087666,79.83333333333333,10.333333333333329,1,Kompeten,60200125034,A,UNIFIED
87.2,2.3151673805580453,85.0,90.0,85.5,90.0,-4.666666666666671,70.2,35.159067109353174,0.0,90.0,43.0,-33.0,79.2,9.846826900072937,67.5,91.0,88.75,6.166666666666671,1.0,0,0,1.0,0.8,1.0,78.86666666666666,22.23470760370422,72.41666666666667,-12.75,1,Kompeten,60200125049,A,UNIFIED
83.8,2.7129319932501073,80.0,86.0,83.5,83.0,1.3333333333333286,68.0,34.10571799566753,0.0,88.0,44.0,-25.0,86.7,1.74928556845359,84.5,89.0,87.5,2.8333333333333286,1.0,0,0,1.0,0.8,1.0,79.5,21.418060914408972,71.66666666666667,-12.0,1,Kompeten,60200125050,A,UNIFIED
83.0,1.4142135623730951,81.0,85.0,82.5,84.0,-1.6666666666666714,83.0,1.4142135623730951,81.0,85.0,82.5,-1.6666666666666714,73.6,13.672600337902077,50.0,86.0,85.25,13.5,1.0,0,0,1.0,1.0,1.0,79.86666666666666,9.125909391519414,83.41666666666667,5.583333333333343,0,Belum Kompeten,60200125053,A,UNIFIED
81.8,8.255906976220118,66.0,90.0,74.5,88.0,-10.333333333333329,81.8,8.255906976220118,66.0,90.0,74.5,-10.333333333333329,83.5,8.264381404557755,67.5,90.5,89.25,12.916666666666671,1.0,0,0,1.0,1.0,1.0,82.36666666666666,8.297523057448464,79.41666666666667,-4.5,1,Kompeten,60200125074,A,UNIFIED
81.8,2.4,80.0,86.0,83.0,80.0,3.0,65.8,32.97514215283992,0.0,86.0,83.0,43.0,85.0,2.280350850198276,82.5,88.5,87.0,4.166666666666671,0.8,1,0,1.0,0.8,1.0,77.53333333333333,20.89614531172888,84.33333333333333,16.83333333333333,1,Kompeten,60200125075,A,UNIFIED
84.6,2.0591260281974,82.0,87.0,84.5,85.0,-0.6666666666666714,84.6,2.0591260281974,82.0,87.0,84.5,-0.6666666666666714,79.3,10.141991914806479,66.5,91.5,89.0,20.08333333333333,1.0,0,0,1.0,1.0,1.0,82.83333333333333,6.58449356864714,86.0,6.916666666666671,1,Kompeten,60200125078,A,UNIFIED
75.4,18.106352476410038,40.0,90.0,81.0,87.5,-20.16666666666667,67.4,33.91518833797035,0.0,90.0,81.0,-33.5,73.7,19.42060761150382,50.0,92.5,90.25,7.833333333333329,0.8,1,0,1.0,0.8,1.0,72.16666666666667,25.10489106838656,84.08333333333333,2.75,1,Kompeten,60200125099,A,UNIFIED
80.0,7.694153624668538,65.0,87.0,73.5,85.0,-8.333333333333329,80.0,7.694153624668538,65.0,87.0,73.5,-8.333333333333329,81.7,6.989992846920518,68.0,87.5,86.5,9.916666666666671,1.0,0,0,1.0,1.0,1.0,80.56666666666666,7.509697434354832,77.83333333333333,-4.083333333333343,0,Belum Kompeten,60200125100,A,UNIFIED
85.2,2.1354156504062622,82.0,88.0,84.5,87.5,-3.8333333333333286,85.2,2.1354156504062622,82.0,88.0,84.5,-3.8333333333333286,83.1,8.033679107357974,67.5,90.5,88.0,9.75,1.0,0,0,1.0,1.0,1.0,84.5,5.053051883103254,85.66666666666667,1.5833333333333428,1,Kompeten,60200125101,A,UNIFIED
81.1,7.2,67.0,86.5,74.5,85.75,-7.75,81.1,7.2,67.0,86.5,74.5,-7.75,82.9,7.8701969479804,68.0,90.5,88.75,12.75,1.0,0,0,1.0,1.0,1.0,81.7,7.478413378963927,79.25,-3.0,1,Kompeten,60200125114,A,UNIFIED
48.6,39.74720115932693,0.0,85.0,39.0,82.5,-56.5,48.6,39.74720115932693,0.0,85.0,39.0,-56.5,24.8,33.40898082851376,0.0,84.0,0.0,-28.666666666666664,0.8,1,0,0.6,0.6,0.4,40.666666666666664,39.38471220607757,26.0,-43.0,0,Belum Kompeten,60200125116,A,UNIFIED
83.0,1.4142135623730951,81.0,85.0,82.5,84.0,-1.6666666666666714,83.0,1.4142135623730951,81.0,85.0,82.5,-1.6666666666666714,82.3,7.8587530817554,67.5,90.5,88.5,12.166666666666671,1.0,0,0,1.0,1.0,1.0,82.76666666666667,4.6934943154209625,84.5,3.5,1,Kompeten,60200125117,A,UNIFIED
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125118,A,UNIFIED
51.0,41.684529504361684,0.0,88.0,41.0,86.5,-59.16666666666667,51.0,41.684529504361684,0.0,88.0,41.0,-59.16666666666667,43.4,37.48919844435194,0.0,84.0,42.0,-38.5,0.6,2,0,0.6,0.6,0.6,48.46666666666667,40.49340138288652,41.333333333333336,-38.49999999999999,1,Kompeten,60200125119,A,UNIFIED
85.0,2.6076809620810595,80.0,87.0,83.5,86.0,-1.6666666666666714,67.6,33.88569019512514,0.0,87.0,40.0,-30.666666666666664,84.7,1.4352700094407322,82.5,86.0,84.25,-1.75,1.0,0,0,1.0,0.8,1.0,79.1,21.256528408938276,69.25,-16.66666666666667,1,Kompeten,60200125120,A,UNIFIED
68.2,34.102199342564404,0.0,86.0,85.5,85.0,-28.0,68.2,34.102199342564404,0.0,86.0,85.5,-28.0,59.6,33.96085982421529,0.0,86.0,84.75,-7.75,0.8,1,0,0.8,0.8,0.8,65.33333333333333,34.29561034431213,85.25,7.166666666666671,1,Kompeten,60200125121,A,UNIFIED
80.6,8.039900496896713,66.0,90.0,73.0,87.5,-11.5,80.6,8.039900496896713,66.0,90.0,73.0,-11.5,82.1,7.92085853932514,67.0,90.0,87.75,12.25,1.0,0,0,1.0,1.0,1.0,81.1,8.031604239917867,77.91666666666667,-5.333333333333329,1,Kompeten,60200125122,A,UNIFIED
73.6,16.942254867637896,40.0,86.0,84.0,80.0,-10.666666666666671,65.6,32.87308929808697,0.0,86.0,84.0,-24.0,77.9,11.253443917308159,65.0,92.5,89.75,9.0,0.9,0,1,1.0,0.8,1.0,72.36666666666666,22.892842161300596,85.91666666666667,8.416666666666671,0,Belum Kompeten,60200125147,A,UNIFIED
