Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.875,85.83333333333333,71.16666666666667,81.42857142857143,1.0,0.8333333333333334,1.0,20.61824891608526,1.5723301886761005,31.850780559072994,13.586833362352191,84.0,88.0,0.0,88.0,50.0,92.5,2.3333333333333286,-27.000000000000007,14.166666666666671,88.0,44.0,86.25,2.3333333333333286,-27.000000000000007,14.166666666666671,81.48214285714286,1,Kompeten,60200125001,A,UNIFIED
0.625,76.33333333333333,55.666666666666664,73.14285714285714,1.0,0.6666666666666666,1.0,27.59759815314939,16.669999666733318,39.53760516549052,16.55017109474419,40.0,88.0,0.0,88.0,50.0,90.0,14.0,-0.6666666666666643,1.125,86.0,44.0,77.25,14.0,-0.6666666666666643,1.125,66.91071428571428,0,Belum Kompeten,60200125006,A,UNIFIED
1.0,85.5,85.5,83.71428571428571,1.0,1.0,1.0,5.183609369366371,2.8136571693556887,2.8136571693556887,7.572776160399183,80.0,88.0,80.0,88.0,67.5,92.5,-1.6666666666666572,-1.6666666666666572,7.666666666666671,87.0,87.0,85.0,-1.6666666666666572,-1.6666666666666572,7.666666666666671,88.67857142857143,1,Kompeten,60200125007,A,UNIFIED
0.75,73.33333333333333,38.333333333333336,86.0,1.0,0.5,1.0,31.422793745289468,17.336538165261125,39.09674609933102,3.5355339059327378,40.0,89.0,0.0,88.0,80.0,91.5,8.0,-35.33333333333333,1.75,75.5,31.0,85.75,8.0,-35.33333333333333,1.75,68.16666666666666,1,Kompeten,60200125016,A,UNIFIED
0.625,13.333333333333334,13.333333333333334,21.142857142857142,0.16666666666666666,0.16666666666666666,0.2857142857142857,31.557097704200643,29.81423969999719,29.81423969999719,33.77415990888627,0.0,80.0,0.0,80.0,0.0,83.0,-26.666666666666668,-26.666666666666668,-11.416666666666668,0.0,0.0,32.5,-26.666666666666668,-26.666666666666668,-11.416666666666668,27.577380952380953,0,Belum Kompeten,60200125017,A,UNIFIED
0.8125,68.33333333333333,55.0,76.28571428571429,1.0,0.6666666666666666,1.0,28.083941251766767,20.07209228976613,38.91015291668744,16.928119342968845,40.0,84.0,0.0,84.0,50.0,91.0,1.3333333333333286,1.3333333333333286,24.416666666666664,83.5,83.5,84.75,1.3333333333333286,1.3333333333333286,24.416666666666664,70.2172619047619,1,Kompeten,60200125031,A,UNIFIED
0.875,81.25,81.16666666666667,80.21428571428571,1.0,1.0,1.0,8.472948644112142,7.830229881682913,7.797791710193057,9.463679225850585,64.0,86.0,64.0,86.0,65.0,91.0,-8.833333333333343,-9.0,-6.916666666666671,74.25,74.0,78.0,-8.833333333333343,-9.0,-6.916666666666671,82.5327380952381,1,Kompeten,60200125032,A,UNIFIED
1.0,85.5,71.33333333333333,88.35714285714286,1.0,0.8333333333333334,1.0,19.627627653718605,3.095695936834452,32.05030767749699,2.9242127843512455,80.0,90.0,0.0,90.0,83.0,92.5,1.0,-27.333333333333336,3.8333333333333286,86.5,86.5,90.5,1.0,-27.333333333333336,3.8333333333333286,86.29761904761904,1,Kompeten,60200125033,A,UNIFIED
0.875,82.5,67.33333333333333,81.28571428571429,1.0,0.8333333333333334,1.0,19.88080826817969,7.455423082115014,30.804040139061126,9.361231385946214,67.0,90.0,0.0,87.0,67.5,92.5,-10.333333333333343,19.999999999999993,14.208333333333329,74.5,74.5,85.25,-10.333333333333343,19.999999999999993,14.208333333333329,79.6547619047619,1,Kompeten,60200125034,A,UNIFIED
1.0,87.33333333333333,73.16666666666667,81.07142857142857,1.0,0.8333333333333334,1.0,20.117349632411496,2.1343747458109497,32.774058169364515,9.351961488023216,85.0,90.0,0.0,90.0,67.5,91.5,-2.0,-30.33333333333333,14.416666666666671,87.0,87.0,85.75,-2.0,-30.33333333333333,14.416666666666671,85.39285714285714,1,Kompeten,60200125049,A,UNIFIED
0.875,84.5,56.666666666666664,84.07142857142857,1.0,0.6666666666666666,1.0,26.455471395516707,2.9297326385411577,40.14418457953226,8.006375010972603,80.0,88.0,0.0,88.0,65.0,90.0,1.0,-54.66666666666667,-3.6666666666666714,87.0,44.0,77.5,1.0,-54.66666666666667,-3.6666666666666714,78.18452380952381,1,Kompeten,60200125050,A,UNIFIED
1.0,83.83333333333333,83.83333333333333,76.85714285714286,1.0,1.0,1.0,8.727404541311286,2.266911751455907,2.266911751455907,12.930347155085219,81.0,88.0,81.0,88.0,50.0,90.0,1.0,1.0,19.29166666666667,86.0,86.0,85.0,1.0,1.0,19.29166666666667,86.13095238095238,0,Belum Kompeten,60200125053,A,UNIFIED
1.0,81.83333333333333,81.83333333333333,84.0,1.0,1.0,1.0,7.6206818752502254,7.536946036396675,7.536946036396675,7.5687326736854885,66.0,90.0,66.0,90.0,67.5,90.5,-9.666666666666671,-9.666666666666671,7.583333333333329,74.0,74.0,85.25,-9.666666666666671,-9.666666666666671,7.583333333333329,86.91666666666666,1,Kompeten,60200125074,A,UNIFIED
0.8125,82.83333333333333,54.833333333333336,85.07142857142857,1.0,0.6666666666666666,1.0,25.858527315047294,3.1841621957571333,38.8261795985933,3.4061768621618183,80.0,88.0,0.0,86.0,80.0,90.5,3.6666666666666714,1.0,2.4583333333333286,87.0,43.0,85.25,3.6666666666666714,1.0,2.4583333333333286,75.99702380952381,1,Kompeten,60200125075,A,UNIFIED
0.875,77.16666666666667,70.5,81.0,1.0,0.8333333333333334,1.0,21.330404346483625,16.727389382553262,31.58454263296104,9.411239481143202,40.0,87.0,0.0,87.0,66.5,91.5,-15.0,-28.333333333333336,14.291666666666671,63.5,43.5,85.25,-15.0,-28.333333333333336,14.291666666666671,79.04166666666667,1,Kompeten,60200125078,A,UNIFIED
0.875,77.66666666666667,70.16666666666667,79.28571428571429,1.0,0.8333333333333334,1.0,23.517394988306233,17.288403306519918,31.5722275988812,18.662141093778107,40.0,90.0,0.0,90.0,50.0,95.0,12.0,23.666666666666664,29.083333333333336,86.5,84.0,93.25,12.0,23.666666666666664,29.083333333333336,78.65476190476191,1,Kompeten,60200125099,A,UNIFIED
1.0,81.5,80.66666666666667,82.71428571428571,1.0,1.0,1.0,7.269638603765862,7.783529619223745,7.180219742846006,6.734013571081529,65.0,89.0,65.0,87.0,68.0,90.5,-5.666666666666657,-7.333333333333329,7.375,77.0,74.5,85.25,-5.666666666666657,-7.333333333333329,7.375,86.2202380952381,0,Belum Kompeten,60200125100,A,UNIFIED
1.0,85.66666666666667,85.66666666666667,83.71428571428571,1.0,1.0,1.0,4.920137826594595,2.2110831935702664,2.2110831935702664,7.410692771053107,82.0,88.0,82.0,88.0,67.5,90.5,0.0,0.0,6.791666666666671,86.0,86.0,85.25,0.0,0.0,6.791666666666671,88.76190476190476,1,Kompeten,60200125101,A,UNIFIED
1.0,81.58333333333333,81.58333333333333,83.42857142857143,1.0,1.0,1.0,6.909886930776934,6.660935036130856,6.660935036130856,7.168525308739645,67.0,86.5,67.0,86.5,68.0,90.5,-7.833333333333329,-7.833333333333329,7.75,75.5,75.5,84.75,-7.833333333333329,-7.833333333333329,7.75,86.64880952380952,1,Kompeten,60200125114,A,UNIFIED
0.75,53.833333333333336,53.833333333333336,27.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,38.66383279964627,38.12443077899291,38.12443077899291,33.33380952040821,0.0,85.0,0.0,85.0,0.0,84.0,-2.3333333333333357,-2.3333333333333357,-25.083333333333336,40.0,40.0,32.5,-2.3333333333333357,-2.3333333333333357,-25.083333333333336,52.41666666666667,0,Belum Kompeten,60200125116,A,UNIFIED
1.0,83.16666666666667,83.16666666666667,83.42857142857143,1.0,1.0,1.0,4.763812109768239,1.3437096247164249,1.3437096247164249,7.645860558071236,81.0,85.0,81.0,85.0,67.5,92.5,-0.3333333333333286,-0.3333333333333286,9.208333333333329,84.0,84.0,86.25,-0.3333333333333286,-0.3333333333333286,9.208333333333329,87.44047619047619,1,Kompeten,60200125117,A,UNIFIED
0.5,0.0,0.0,9.285714285714286,0.0,0.0,0.14285714285714285,14.514297087513343,0.0,0.0,22.745261897272368,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,16.25,0.0,0.0,32.5,0.0,0.0,16.25,14.821428571428571,0,Belum Kompeten,60200125118,A,UNIFIED
0.75,57.166666666666664,57.166666666666664,42.42857142857143,0.6666666666666666,0.6666666666666666,0.5714285714285714,40.30259506502117,40.47392850822476,40.47392850822476,38.25425146440642,0.0,88.0,0.0,88.0,0.0,84.0,-1.0,-1.0,-3.3333333333333357,85.0,85.0,40.0,-1.0,-1.0,-3.3333333333333357,57.94047619047619,1,Kompeten,60200125119,A,UNIFIED
0.875,84.83333333333333,70.33333333333333,82.64285714285714,1.0,0.8333333333333334,1.0,19.386576159292684,2.4094720491334933,31.531289574361246,7.529533687488251,80.0,87.0,0.0,87.0,65.0,90.0,-2.3333333333333286,-31.333333333333336,-4.125,85.5,42.0,77.5,-2.3333333333333286,-31.333333333333336,-4.125,81.32738095238095,1,Kompeten,60200125120,A,UNIFIED
0.875,70.83333333333333,70.83333333333333,54.0,0.8333333333333334,0.8333333333333334,0.7142857142857143,34.65158996324136,31.68289058080963,31.68289058080963,36.86946084304926,0.0,86.0,0.0,86.0,0.0,86.0,28.333333333333336,28.333333333333336,19.541666666666664,85.0,85.0,40.0,28.333333333333336,28.333333333333336,19.541666666666664,70.79166666666666,1,Kompeten,60200125121,A,UNIFIED
1.0,82.0,81.16666666666667,82.92857142857143,1.0,1.0,1.0,7.611043150536933,7.979139469057215,7.44796765716811,7.326217945690334,66.0,90.0,66.0,90.0,67.0,90.0,-7.333333333333343,-9.0,8.041666666666671,77.5,75.0,85.0,-7.333333333333343,-9.0,8.041666666666671,86.52380952380953,1,Kompeten,60200125122,A,UNIFIED
0.9375,74.66666666666667,68.0,81.28571428571429,1.0,0.8333333333333334,1.0,21.0894086663125,15.648926125740667,30.48496897379647,10.91479056424009,40.0,86.0,0.0,86.0,65.0,92.5,16.0,29.333333333333336,19.75,83.0,83.0,89.75,16.0,29.333333333333336,19.75,79.42559523809524,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.83333333333333,84.83333333333333,83.14285714285714,1.0,1.0,1.0,4.990295291003604,2.733536577809454,2.733536577809454,7.278708115918284,82.0,90.0,82.0,90.0,67.5,90.5,-1.6666666666666714,-1.6666666666666714,8.416666666666671,85.0,85.0,85.25,-1.6666666666666714,-1.6666666666666714,8.416666666666671,88.20238095238095,1,Kompeten,60200125151,A,UNIFIED
0.75,55.5,55.5,34.07142857142857,0.6666666666666666,0.6666666666666666,0.42857142857142855,40.86710778382731,39.318146785761236,39.318146785761236,39.91278757797929,0.0,88.0,0.0,88.0,0.0,87.5,-1.0,-1.0,8.583333333333332,41.0,41.0,32.5,-1.0,-1.0,8.583333333333332,55.01785714285714,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,83.33333333333333,83.33333333333333,89.57142857142857,1.0,1.0,1.0,6.447851754171098,7.110243002567181,7.110243002567181,1.265717510476382,68.0,88.0,68.0,88.0,87.5,91.5,-7.333333333333329,-7.333333333333329,1.875,78.0,78.0,90.75,-7.333333333333329,-7.333333333333329,1.875,89.05952380952381,1,Kompeten,60200125154,A,UNIFIED
1.0,89.0,89.0,60.857142857142854,1.0,1.0,1.0,19.764962423748454,8.0,8.0,21.222821755490152,80.0,100.0,80.0,100.0,42.5,90.0,2.666666666666657,2.666666666666657,-42.54166666666667,93.0,93.0,42.5,2.666666666666657,2.666666666666657,-42.54166666666667,84.71428571428572,1,Kompeten,60200125009,B,UNIFIED
1.0,91.5,91.5,81.42857142857143,1.0,1.0,1.0,12.74374541064803,8.674675786448736,8.674675786448736,15.739914166194923,80.0,100.0,80.0,100.0,43.0,90.0,7.666666666666657,7.666666666666657,-12.083333333333329,93.0,93.0,65.5,7.666666666666657,7.666666666666657,-12.083333333333329,91.10714285714286,1,Kompeten,60200125019,B,UNIFIED
1.0,93.33333333333333,93.33333333333333,82.21428571428571,1.0,1.0,1.0,13.398122827129878,9.428090415820634,9.428090415820634,16.024216367862785,80.0,100.0,80.0,100.0,43.0,90.0,0.0,0.0,-12.166666666666671,100.0,100.0,65.75,0.0,0.0,-12.166666666666671,92.22023809523809,1,Kompeten,60200125020,B,UNIFIED
1.0,91.83333333333333,91.83333333333333,86.78571428571429,1.0,1.0,1.0,7.336774144516474,8.374896350934074,8.374896350934074,3.126581232605613,80.0,100.0,80.0,100.0,81.0,90.0,7.0,7.0,-0.375,93.0,93.0,85.0,7.0,7.0,-0.375,92.61309523809524,1,Kompeten,60200125021,B,UNIFIED
