Attendance_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Respons_TP_Gap,Competency_Label,Competency_Name,NIM,Kelas
0.9,85.83333333333333,71.16666666666667,81.42857142857143,1.0,1.0,1.0,-14.666666666666657,1,Kompeten,60200125001,A
0.7,76.33333333333333,55.666666666666664,73.14285714285714,1.0,1.0,1.0,-20.666666666666664,0,Belum Kompeten,60200125006,A
1.0,85.5,85.5,83.71428571428571,1.0,1.0,1.0,0.0,1,Kompeten,60200125007,A
0.8,73.33333333333333,38.333333333333336,86.0,1.0,1.0,1.0,-34.99999999999999,1,Kompeten,60200125016,A
0.6,13.333333333333334,13.333333333333334,21.142857142857142,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125017,A
0.85,68.33333333333333,55.0,76.28571428571429,1.0,1.0,1.0,-13.333333333333329,1,Kompeten,60200125031,A
0.9,81.25,81.16666666666667,80.21428571428571,1.0,1.0,1.0,-0.0833333333333286,1,Kompeten,60200125032,A
1.0,85.5,71.33333333333333,88.35714285714286,1.0,1.0,1.0,-14.166666666666671,1,Kompeten,60200125033,A
0.9,82.5,67.33333333333333,81.28571428571429,1.0,1.0,1.0,-15.166666666666671,1,Kompeten,60200125034,A
1.0,87.33333333333333,73.16666666666667,81.07142857142857,1.0,1.0,1.0,-14.166666666666657,1,Kompeten,60200125049,A
0.9,84.5,56.666666666666664,84.07142857142857,1.0,1.0,1.0,-27.833333333333336,1,Kompeten,60200125050,A
0.4,27.5,27.5,21.428571428571427,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125051,A
1.0,83.83333333333333,83.83333333333333,76.85714285714286,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125053,A
1.0,81.83333333333333,81.83333333333333,84.0,1.0,1.0,1.0,0.0,1,Kompeten,60200125074,A
0.85,82.83333333333333,54.833333333333336,85.07142857142857,1.0,1.0,1.0,-27.999999999999993,1,Kompeten,60200125075,A
0.3,13.333333333333334,13.333333333333334,0.0,0.8333333333333334,1.0,1.0,0.0,0,Belum Kompeten,60200125077,A
0.9,77.16666666666667,70.5,81.0,1.0,1.0,1.0,-6.666666666666671,1,Kompeten,60200125078,A
0.9,77.66666666666667,70.16666666666667,79.28571428571429,1.0,1.0,1.0,-7.5,1,Kompeten,60200125099,A
1.0,81.5,80.66666666666667,82.71428571428571,1.0,1.0,1.0,-0.8333333333333286,0,Belum Kompeten,60200125100,A
1.0,85.66666666666667,85.66666666666667,83.71428571428571,1.0,1.0,1.0,0.0,1,Kompeten,60200125101,A
1.0,81.58333333333333,81.58333333333333,83.42857142857143,1.0,1.0,1.0,0.0,1,Kompeten,60200125114,A
0.7,53.833333333333336,53.833333333333336,27.0,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125116,A
1.0,83.16666666666667,83.16666666666667,83.42857142857143,1.0,1.0,1.0,0.0,1,Kompeten,60200125117,A
0.5,0.0,0.0,9.285714285714286,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125118,A
0.75,57.166666666666664,57.166666666666664,42.42857142857143,1.0,1.0,1.0,0.0,1,Kompeten,60200125119,A
0.9,84.83333333333333,70.33333333333333,82.64285714285714,1.0,1.0,1.0,-14.5,1,Kompeten,60200125120,A
0.9,70.83333333333333,70.83333333333333,54.0,1.0,1.0,1.0,0.0,1,Kompeten,60200125121,A
1.0,82.0,81.16666666666667,82.92857142857143,1.0,1.0,1.0,-0.8333333333333286,1,Kompeten,60200125122,A
0.95,74.66666666666667,68.0,81.28571428571429,1.0,1.0,1.0,-6.666666666666671,0,Belum Kompeten,60200125147,A
1.0,84.83333333333333,84.83333333333333,83.14285714285714,1.0,1.0,1.0,0.0,1,Kompeten,60200125151,A
0.7,55.5,55.5,34.07142857142857,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125152,A
1.0,83.33333333333333,83.33333333333333,89.57142857142857,1.0,1.0,1.0,0.0,1,Kompeten,60200125154,A
1.0,83.0,83.0,87.5,1.0,1.0,1.0,0.0,1,Kompeten,60200125010,C
0.95,85.0,70.66666666666667,85.57142857142857,1.0,1.0,1.0,-14.333333333333329,1,Kompeten,60200125011,C
1.0,83.0,83.0,84.39285714285714,1.0,1.0,1.0,0.0,1,Kompeten,60200125022,C
1.0,85.16666666666667,85.16666666666667,84.57142857142857,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125023,C
1.0,85.83333333333333,82.66666666666667,84.78571428571429,1.0,1.0,1.0,-3.166666666666657,1,Kompeten,60200125024,C
0.8,82.33333333333333,54.666666666666664,76.21428571428571,1.0,1.0,1.0,-27.666666666666664,0,Belum Kompeten,60200125038,C
0.9,86.66666666666667,86.66666666666667,84.57142857142857,1.0,1.0,1.0,0.0,1,Kompeten,60200125039,C
1.0,83.66666666666667,68.33333333333333,85.0,1.0,1.0,1.0,-15.333333333333343,1,Kompeten,60200125040,C
0.9,80.33333333333333,66.16666666666667,82.14285714285714,1.0,1.0,1.0,-14.166666666666657,0,Belum Kompeten,60200125046,C
0.8,77.0,57.0,72.64285714285714,1.0,1.0,1.0,-20.0,0,Belum Kompeten,60200125059,C
1.0,77.25,80.83333333333333,81.85714285714286,1.0,1.0,1.0,3.5833333333333286,1,Kompeten,60200125060,C
0.3,27.666666666666668,27.666666666666668,21.428571428571427,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125061,C
0.95,86.33333333333333,68.83333333333333,85.64285714285714,1.0,1.0,1.0,-17.5,1,Kompeten,60200125062,C
0.6,70.66666666666667,56.833333333333336,21.071428571428573,1.0,1.0,1.0,-13.833333333333336,0,Belum Kompeten,60200125063,C
0.4,68.5,28.0,52.142857142857146,1.0,1.0,1.0,-40.5,0,Belum Kompeten,60200125073,C
1.0,87.33333333333333,87.33333333333333,85.25,1.0,1.0,1.0,0.0,1,Kompeten,60200125083,C
0.7,66.91666666666667,39.333333333333336,82.14285714285714,1.0,1.0,1.0,-27.583333333333336,0,Belum Kompeten,60200125084,C
0.9,86.5,86.5,86.35714285714286,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125085,C
0.9,81.66666666666667,82.66666666666667,81.24285714285715,1.0,1.0,1.0,1.0,0,Belum Kompeten,60200125086,C
1.0,85.83333333333333,85.83333333333333,85.07142857142857,1.0,1.0,1.0,0.0,1,Kompeten,60200125087,C
1.0,85.5,85.5,85.5,1.0,1.0,1.0,0.0,1,Kompeten,60200125105,C
0.4,76.5,14.166666666666666,71.21428571428571,1.0,1.0,1.0,-62.333333333333336,0,Belum Kompeten,60200125106,C
1.0,86.16666666666667,86.16666666666667,84.71428571428571,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125107,C
0.3,28.5,28.5,15.142857142857142,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125130,C
0.7,67.16666666666667,67.16666666666667,68.5,1.0,1.0,1.0,0.0,0,Belum Kompeten,60200125131,C
0.8,84.5,70.83333333333333,83.71428571428571,1.0,1.0,1.0,-13.666666666666671,1,Kompeten,60200125132,C
0.8,82.0,82.0,82.0,1.0,1.0,1.0,0.0,1,Kompeten,60200125133,C
0.5,76.75,28.75,78.28571428571429,1.0,1.0,1.0,-48.0,1,Kompeten,60200125134,C
0.4,55.0,28.333333333333332,49.714285714285715,1.0,1.0,1.0,-26.666666666666668,0,Belum Kompeten,60200125135,C
