Cutoff,FeatureSet,Model,BalAcc_Mean,BalAcc_Std,RecallBK_Mean,RecallBK_Std,F1Macro_Mean,F1Macro_Std,Acc_Mean
C1,S1,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C1,S1,DT,0.920416667,0.138680121,0.866666667,0.286744176,0.887926123,0.136250498,0.965141612
C1,S1,RF,0.922638889,0.139666987,0.866666667,0.286744176,0.895742215,0.139063643,0.969063181
C1,S2,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C1,S2,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C1,S2,RF,0.933333333,0.143372088,0.866666667,0.286744176,0.941348974,0.13668798,0.988453159
C1,S3,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C1,S3,DT,0.918333333,0.13924025,0.866666667,0.286744176,0.884542351,0.148747769,0.961220044
C1,S3,RF,0.933333333,0.143372088,0.866666667,0.286744176,0.941348974,0.13668798,0.988453159
C1,S4,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C1,S4,DT,0.922777778,0.139647512,0.866666667,0.286744176,0.894715677,0.142946356,0.969063181
C1,S4,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C1,S5,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C1,S5,DT,0.929166667,0.142278092,0.866666667,0.286744176,0.922460085,0.146502424,0.980610022
C1,S5,RF,0.929166667,0.14181977,0.866666667,0.286744176,0.921420658,0.138114138,0.980827887
C2,S1,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C2,S1,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S1,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S2,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C2,S2,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S2,RF,0.929166667,0.14181977,0.866666667,0.286744176,0.921420658,0.138114138,0.980827887
C2,S3,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C2,S3,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S3,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S4,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C2,S4,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S4,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C2,S5,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C2,S5,DT,0.9225,0.140679156,0.866666667,0.286744176,0.90343124,0.144149194,0.969063181
C2,S5,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C3,S1,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C3,S1,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C3,S1,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C3,S2,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C3,S2,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C3,S2,RF,0.93125,0.142613259,0.866666667,0.286744176,0.933607038,0.136435277,0.984749455
C3,S3,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C3,S3,DT,0.910277778,0.172203964,0.833333333,0.349602949,0.890431661,0.175050395,0.973202614
C3,S3,RF,0.893611111,0.174792315,0.8,0.355902608,0.878245281,0.173353016,0.969281046
C3,S4,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C3,S4,DT,0.910277778,0.172203964,0.833333333,0.349602949,0.890431661,0.175050395,0.973202614
C3,S4,RF,0.910277778,0.172203964,0.833333333,0.349602949,0.890431661,0.175050395,0.973202614
C3,S5,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C3,S5,DT,0.90375,0.144550308,0.833333333,0.298142397,0.884542351,0.148747769,0.961220044
C3,S5,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C_Full,S1,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C_Full,S1,DT,0.976944444,0.061962815,0.966666667,0.124721913,0.960134381,0.068246904,0.984749455
C_Full,S1,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C_Full,S2,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C_Full,S2,DT,0.908055556,0.177614183,0.833333333,0.349602949,0.888158574,0.180560426,0.965141612
C_Full,S2,RF,0.9125,0.147107529,0.833333333,0.298142397,0.908218427,0.141671447,0.973202614
C_Full,S3,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C_Full,S3,DT,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
C_Full,S3,RF,0.879166667,0.177095588,0.766666667,0.359010987,0.873874993,0.174009226,0.969281046
C_Full,S4,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C_Full,S4,DT,0.908055556,0.174458266,0.833333333,0.349602949,0.883729152,0.17959172,0.969281046
C_Full,S4,RF,0.910277778,0.172203964,0.833333333,0.349602949,0.890431661,0.175050395,0.973202614
C_Full,S5,Dummy,0.5,0,0,0,0.475557041,0.007616069,0.907189542
C_Full,S5,DT,0.922638889,0.14013235,0.866666667,0.286744176,0.901226086,0.146111987,0.969063181
C_Full,S5,RF,0.926944444,0.140950943,0.866666667,0.286744176,0.913604566,0.136756815,0.976906318
