Cutoff,FeatureSet,Model,Balancing,BalAcc_Mean,BalAcc_Std,RecallBK_Mean,RecallBK_Std,F1Macro_Mean,F1Macro_Std,PrecBK_Mean
C1,S1,DT,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C1,S1,RF,None,0.95,0.103509834,0.9,0.207019668,0.963506028,0.075550001,1
C1,S1,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C1,S1,DT,Class_Weight,0.939305556,0.110092929,0.9,0.207019668,0.92877953,0.1040407,0.872222222
C1,S1,RF,Class_Weight,0.943611111,0.101019317,0.9,0.207019668,0.942110827,0.077668391,0.938888889
C1,S1,DT,SMOTE,0.937222222,0.109791205,0.9,0.207019668,0.92128337,0.109244315,0.855555556
C1,S1,RF,SMOTE,0.945694444,0.101893247,0.9,0.207019668,0.947948001,0.078593311,0.955555556
C1,S2,DT,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C1,S2,RF,None,0.945833333,0.102607377,0.9,0.207019668,0.950172695,0.085625839,0.966666667
C1,S2,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C1,S2,DT,Class_Weight,0.941527778,0.111017197,0.9,0.207019668,0.93469086,0.105487391,0.888888889
C1,S2,RF,Class_Weight,0.945833333,0.102607377,0.9,0.207019668,0.950172695,0.085625839,0.966666667
C1,S2,DT,SMOTE,0.928333333,0.106811077,0.9,0.207019668,0.898981783,0.109498483,0.801111111
C1,S2,RF,SMOTE,0.941527778,0.10078581,0.9,0.207019668,0.934614667,0.085769314,0.922222222
C1,S3,DT,None,0.939444444,0.110762785,0.9,0.207019668,0.929099462,0.110478268,0.877777778
C1,S3,RF,None,0.95,0.103509834,0.9,0.207019668,0.963506028,0.075550001,1
C1,S3,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C1,S3,DT,Class_Weight,0.937361111,0.109832424,0.9,0.207019668,0.921357527,0.10921667,0.855555556
C1,S3,RF,Class_Weight,0.945833333,0.102607377,0.9,0.207019668,0.950172695,0.085625839,0.966666667
C1,S3,DT,SMOTE,0.941527778,0.106178392,0.9,0.207019668,0.935727815,0.099179466,0.911111111
C1,S3,RF,SMOTE,0.94375,0.101742629,0.9,0.207019668,0.942430759,0.086047776,0.944444444
C1,S4,DT,None,0.939444444,0.110762785,0.9,0.207019668,0.929099462,0.110478268,0.877777778
C1,S4,RF,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C1,S4,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C1,S4,DT,Class_Weight,0.935138889,0.108806962,0.9,0.207019668,0.915446197,0.107033936,0.838888889
C1,S4,RF,Class_Weight,0.947916667,0.108038174,0.9,0.207019668,0.95687724,0.091821454,0.966666667
C1,S4,DT,SMOTE,0.937083333,0.109749783,0.9,0.207019668,0.923113976,0.108801785,0.861111111
C1,S4,RF,SMOTE,0.947916667,0.102743251,0.9,0.207019668,0.955764093,0.077468937,0.977777778
C1,S5,DT,None,0.939444444,0.110762785,0.9,0.207019668,0.929099462,0.110478268,0.877777778
C1,S5,RF,None,0.943611111,0.111854593,0.9,0.207019668,0.942432796,0.105752344,0.911111111
C1,S5,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C1,S5,DT,Class_Weight,0.937222222,0.109791205,0.9,0.207019668,0.923188132,0.108772691,0.861111111
C1,S5,RF,Class_Weight,0.943611111,0.106400065,0.9,0.207019668,0.943223975,0.09216664,0.927777778
C1,S5,DT,SMOTE,0.934861111,0.114754922,0.9,0.207019668,0.918554589,0.11902379,0.85
C1,S5,RF,SMOTE,0.943472222,0.106715445,0.9,0.207019668,0.941245492,0.093426826,0.922222222
C2,S1,DT,None,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S1,RF,None,0.943472222,0.112860057,0.9,0.207019668,0.944502197,0.10605519,0.933333333
C2,S1,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C2,S1,DT,Class_Weight,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S1,RF,Class_Weight,0.943472222,0.112860057,0.9,0.207019668,0.944502197,0.10605519,0.933333333
C2,S1,DT,SMOTE,0.953888889,0.091750728,0.933333333,0.175932888,0.932291435,0.094733741,0.866666667
C2,S1,RF,SMOTE,0.945694444,0.107576531,0.9,0.207019668,0.949061584,0.093087906,0.944444444
C2,S2,DT,None,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S2,RF,None,0.947916667,0.102743251,0.9,0.207019668,0.955764093,0.077468937,0.977777778
C2,S2,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C2,S2,DT,Class_Weight,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S2,RF,Class_Weight,0.943472222,0.112860057,0.9,0.207019668,0.944502197,0.10605519,0.933333333
C2,S2,DT,SMOTE,0.953888889,0.091750728,0.933333333,0.175932888,0.932291435,0.094733741,0.866666667
C2,S2,RF,SMOTE,0.947777778,0.108354699,0.9,0.207019668,0.956803519,0.09210276,0.966666667
C2,S3,DT,None,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S3,RF,None,0.947916667,0.102743251,0.9,0.207019668,0.955764093,0.077468937,0.977777778
C2,S3,Dummy,None,0.5,0,0,0,0.467012032,0.006494016,0
C2,S3,DT,Class_Weight,0.941388889,0.116902575,0.9,0.207019668,0.937873409,0.117051866,0.9
C2,S3,RF,Class_Weight,0.947916667,0.102743251,0.9,0.207019668,0.955764093,0.077468937,0.977777778
C2,S3,DT,SMOTE,0.955833333,0.098771597,0.933333333,0.175932888,0.941065381,0.102030193,0.888888889
