Feature,Mean_Abs_SHAP
Laporan_Mean,0.029112850223702372
Performance_Mean,0.025806459419491834
Performance_Late_Mean,0.021083557009637696
Laporan_Min,0.018858633453610475
Laporan_First2_Mean,0.01821588381027416
Laporan_Last2_Mean,0.016600999576940657
Laporan_Max,0.010878204798684572
Absence_Count,0.009200053903684195
TP_First2_Mean,0.008849243153970931
Performance_Std,0.00535783477292387
TP_Mean,0.0043648689446530685
TP_Last2_Mean,0.0032617621136550286
TP_Max,0.003205686527917456
TP_Min,0.001625653506399858
Laporan_Std,0.001488409211790165
Performance_Trend,0.0013678364164212353
Laporan_Trend,0.0008839811524032716
TP_Std,0.00027198704186265013
TP_Trend,0.0002501392685275867
Laporan_Completion_Rate,0.0
Attendance_PreFinal_Rate,0.0
TP_Completion_Rate,0.0
