Feature,Mean_Abs_SHAP
Performance_Late_Mean,0.07081911793649082
Laporan_First2_Mean,0.05598543467478266
Laporan_Min,0.05226848587432262
Laporan_Completion_Rate,0.049007543368760044
Attendance_PreFinal_Rate,0.04373835494723715
Laporan_Mean,0.038216435021649175
Laporan_Last2_Mean,0.037767951734485765
TP_Completion_Rate,0.03371330071222423
TP_Mean,0.020859911724740835
TP_Last2_Mean,0.01808897293615119
Absence_Count,0.014470269914219685
TP_First2_Mean,0.0137537994800381
Laporan_Max,0.013297132275158023
TP_Max,0.011817624259271338
Laporan_Std,0.0072873815241869385
Performance_Std,0.006000922343225226
Laporan_Trend,0.005763534000120982
TP_Std,0.0044534403968069704
TP_Min,0.0039532584636019245
TP_Trend,0.003575155691482062
