Feature,Mean_Abs_SHAP
Performance_Late_Mean,0.10358364108114232
Laporan_First2_Mean,0.08167256839516844
Laporan_Min,0.07560074115300087
Laporan_Last2_Mean,0.06859409408079521
Laporan_Mean,0.059151874462143345
Absence_Count,0.026354886926726738
TP_Mean,0.025083097889447882
TP_First2_Mean,0.018150622485430024
Laporan_Max,0.014046406095778969
TP_Max,0.012908487353965319
TP_Last2_Mean,0.007303877649216655
TP_Min,0.0043158714502690935
Laporan_Std,0.002747484028160986
Laporan_Trend,0.0020252227833036794
Performance_Std,0.001791021167529167
TP_Std,0.0015794190677534097
TP_Trend,0.0006307895408929748
TP_Completion_Rate,0.00036635927445657934
Attendance_PreFinal_Rate,0.0
Laporan_Completion_Rate,0.0
