Feature,Mean_Abs_SHAP_Main,Mean_Abs_SHAP_Sens
Performance_Late_Mean,0.07081911793649082,0.10358364108114232
Laporan_First2_Mean,0.05598543467478266,0.08167256839516844
Laporan_Min,0.05226848587432262,0.07560074115300087
Laporan_Completion_Rate,0.049007543368760044,0.0
Attendance_PreFinal_Rate,0.04373835494723715,0.0
Laporan_Mean,0.038216435021649175,0.059151874462143345
Laporan_Last2_Mean,0.037767951734485765,0.06859409408079521
TP_Completion_Rate,0.03371330071222423,0.00036635927445657934
TP_Mean,0.020859911724740835,0.025083097889447882
TP_Last2_Mean,0.01808897293615119,0.007303877649216655
Absence_Count,0.014470269914219685,0.026354886926726738
TP_First2_Mean,0.0137537994800381,0.018150622485430024
Laporan_Max,0.013297132275158023,0.014046406095778969
TP_Max,0.011817624259271338,0.012908487353965319
Laporan_Std,0.0072873815241869385,0.002747484028160986
Performance_Std,0.006000922343225226,0.001791021167529167
Laporan_Trend,0.005763534000120982,0.0020252227833036794
TP_Std,0.0044534403968069704,0.0015794190677534097
TP_Min,0.0039532584636019245,0.0043158714502690935
TP_Trend,0.003575155691482062,0.0006307895408929748
