population,scenario,model,balancing,n_features,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_macro_mean,cv_precision_macro_std,cv_precision_macro_ci_lower,cv_precision_macro_ci_upper,cv_recall_macro_mean,cv_recall_macro_std,cv_recall_macro_ci_lower,cv_recall_macro_ci_upper,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_ci_lower,cv_f1_macro_ci_upper,cv_recall_bk_mean,cv_recall_bk_std,cv_recall_bk_ci_lower,cv_recall_bk_ci_upper,cv_precision_bk_mean,cv_precision_bk_std,cv_precision_bk_ci_lower,cv_precision_bk_ci_upper,cv_f1_bk_mean,cv_f1_bk_std,cv_f1_bk_ci_lower,cv_f1_bk_ci_upper,cv_f2_bk_mean,cv_f2_bk_std,cv_f2_bk_ci_lower,cv_f2_bk_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_ci_lower,cv_pr_auc_ci_upper,best_params
n89,S3,DecisionTree,None,6,0.52,0.6255238095238095,0.11138281518831519,0.5785991729266289,0.6724484461209901,0.6239285714285715,0.1122679011679343,0.5766310556050878,0.6712260872520552,0.6414841269841269,0.14336357544145767,0.5810862669777243,0.7018819869905296,0.6239285714285715,0.1122679011679343,0.5766310556050878,0.6712260872520552,0.601812615489086,0.13285245822768685,0.5458430001329255,0.6577822308452466,0.6421428571428571,0.2126413095581671,0.552558874553662,0.7317268397320522,0.6493174603174604,0.13265993987550728,0.5934289513123923,0.7052059693225285,0.6219981587040411,0.13548055035878057,0.5649213503936804,0.6790749670144017,0.6284027872744791,0.17362171281164043,0.5552574302883777,0.7015481442605804,0.6753061224489797,0.11597303521922321,0.6264476650331451,0.7241645798648143,0.4617100518529089,0.04546534489131424,0.4425558871535935,0.48086421655222433,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__criterion"": ""gini""}"
n89,S3,RandomForest,None,6,0.48,0.6531428571428571,0.09477678753672922,0.6132141993378804,0.6930715149478339,0.6517857142857142,0.09549815683657813,0.6115531497048982,0.6920182788665302,0.6706630591630591,0.10198202053246673,0.6276988977271913,0.7136272205989269,0.6517857142857142,0.09549815683657813,0.6115531497048982,0.6920182788665302,0.6424948972596031,0.10198738475838076,0.5995284759207941,0.6854613185984121,0.6807142857142857,0.1543848887603674,0.6156732397600407,0.7457553316685307,0.6691746031746032,0.12045128671647858,0.6184294963349396,0.7199197100142668,0.6605778926955398,0.1018853326428233,0.6176544650486069,0.7035013203424727,0.6694892900323396,0.12746286861727607,0.6157902631278076,0.7231883169368716,0.7741836734693877,0.10709454693170556,0.72906564796596,0.8193016989728154,0.42426752216037933,0.057091850393378205,0.40021520917259523,0.4483198351481634,"{""model__n_estimators"": 300, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": ""sqrt"", ""model__max_depth"": 5}"
n89,S3_A,DecisionTree,None,7,0.34,0.6285714285714286,0.13549941218672445,0.5714866739327198,0.6856561832101373,0.6282142857142857,0.13538211228419586,0.5711789485309513,0.6852496228976201,0.6348412698412698,0.15973476811282805,0.5675463650307143,0.7021361746518252,0.6282142857142857,0.13538211228419586,0.5711789485309513,0.6852496228976201,0.6105865768218709,0.15255051032549247,0.5463183389645723,0.6748548146791695,0.6278571428571429,0.21468296511415172,0.5374130280755695,0.7183012576387163,0.6482380952380953,0.14912215468329215,0.5854141945737842,0.7110619959024064,0.6194919981978806,0.15845020175618288,0.5527382703127658,0.6862457260829954,0.6201823826681206,0.1859500254501169,0.5418432119914705,0.6985215533447708,0.6881122448979592,0.1372890453235347,0.6302735329773742,0.7459509568185442,0.4664767454767455,0.05251534165854772,0.44435247685471624,0.48860101409877477,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_depth"": 5, ""model__criterion"": ""gini""}"
n89,S3_A,RandomForest,None,7,0.5,0.6817142857142858,0.08467818230112836,0.6460400847572328,0.7173884866713388,0.6803571428571429,0.08530407794640134,0.6444192573662366,0.7162950283480491,0.698338383838384,0.09462537984110238,0.6584735128131118,0.7382032548636561,0.6803571428571429,0.08530407794640134,0.6444192573662366,0.7162950283480491,0.6739007038712921,0.08758247813076694,0.6370029476813597,0.7107984600612245,0.6921428571428572,0.14126614049013866,0.6326286287156211,0.7516570855700933,0.7086666666666668,0.1264109424830013,0.6554108073324145,0.761922526000919,0.6846605420723069,0.08234173835280292,0.6499706651603904,0.7193504189842234,0.686022747823407,0.11236165284672991,0.638685735211748,0.733359760435066,0.7733673469387756,0.1018995961561821,0.7304379101944805,0.8162967836830708,0.42672359584859587,0.059114604951574785,0.40181911349870514,0.4516280781984866,"{""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 5}"
n89,S3_B,DecisionTree,None,7,0.52,0.6169523809523809,0.11246227888645866,0.5695729754425132,0.6643317864622487,0.6153571428571428,0.11321822886328321,0.5676592620251334,0.6630550236891523,0.6317460317460317,0.14492348264363364,0.5706909960481754,0.692801067443888,0.6153571428571428,0.11321822886328321,0.5676592620251334,0.6630550236891523,0.5928929077458489,0.13317938125663742,0.5367855624867153,0.6490002530049825,0.6421428571428572,0.2087670315672179,0.5541910750550983,0.7300946392306161,0.639079365079365,0.13346078577954984,0.5828534664782985,0.6953052636804316,0.6177020626432391,0.13315694391075217,0.5616041700478768,0.6737999552386015,0.6266781939283687,0.16975374675334653,0.5551623782799395,0.6981940095767978,0.6756632653061224,0.11820092981196537,0.6258662147692171,0.7254603158430277,0.4594141334855621,0.04406085190740668,0.440851669783943,0.47797659718718116,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__criterion"": ""gini""}"
n89,S3_B,RandomForest,None,7,0.5,0.6558095238095237,0.10222486440438222,0.6127430543073692,0.6988759933116783,0.6549999999999998,0.1024533243651439,0.6118372822514921,0.6981627177485075,0.672526307026307,0.11095297729423015,0.6257827574930648,0.7192698565595492,0.6549999999999998,0.1024533243651439,0.6118372822514921,0.6981627177485075,0.647091372679608,0.10505249656742406,0.60283364569795,0.6913490996612661,0.6814285714285715,0.15800736226711795,0.6148614080692332,0.7479957347879098,0.672139194139194,0.12728743436587234,0.6185140761988043,0.7257643120795837,0.6626251003898063,0.10849804239945858,0.6169157941337889,0.7083344066458236,0.6708274536184504,0.13239357560480852,0.6150511616244524,0.7266037456124484,0.7642857142857141,0.11242795832996375,0.7169207677355935,0.8116506608358347,0.4302178396999826,0.0573166642816905,0.4060708145252851,0.45436486487468014,"{""model__n_estimators"": 300, ""model__min_samples_split"": 6, ""model__min_samples_leaf"": 2, ""model__max_features"": ""sqrt"", ""model__max_depth"": 5}"
n89,S3_C,DecisionTree,None,7,0.52,0.6226666666666667,0.11540939648999964,0.5740456654732862,0.6712876678600472,0.6210714285714285,0.11622462417795174,0.5721069788583061,0.6700358782845509,0.637984126984127,0.14708275556835596,0.5760194078926932,0.6999488460755607,0.6210714285714285,0.11622462417795174,0.5721069788583061,0.6700358782845509,0.5993756211109152,0.135827879070011,0.5421524861564785,0.656598756065352,0.6478571428571428,0.2163896711858456,0.5566940072638128,0.7390202784504728,0.640984126984127,0.13417880105688904,0.5844557346284952,0.6975125193397588,0.621974848680731,0.14044957244659054,0.5628046334536964,0.6811450639077657,0.6319545007526631,0.17796325238874222,0.5569800899167076,0.7069289115886187,0.6851530612244897,0.11797176156372047,0.6354525573294548,0.7348535651195246,0.45288491270634124,0.04136048038734299,0.43546009265327,0.47030973275941246,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__criterion"": ""gini""}"
n89,S3_C,RandomForest,None,7,0.5,0.6502857142857142,0.10712554357466664,0.6051546301591567,0.6954167984122718,0.6496428571428571,0.10836446439150217,0.603989826170151,0.6952958881155632,0.6706551226551225,0.11544303785532495,0.6220199486394816,0.7192902966707634,0.6496428571428571,0.10836446439150217,0.603989826170151,0.6952958881155632,0.6387955573837926,0.11345522849157406,0.5909978306158332,0.6865932841517519,0.665,0.17329931638995144,0.5919904658955739,0.7380095341044262,0.6737936507936507,0.13660270243270212,0.6162440893194693,0.7313432122678322,0.6519619008442539,0.1168136303113191,0.6027493078361802,0.7011744938523276,0.6560834910344353,0.14460019103256333,0.5951646553539582,0.7170023267149124,0.7682653061224489,0.10900395279200452,0.7223428641032457,0.8141877481416522,0.42571141160426884,0.05852815369951762,0.4010539961994739,0.4503688270090638,"{""model__n_estimators"": 200, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 3}"
n89,S3_D,DecisionTree,None,7,0.52,0.6226666666666667,0.11540939648999964,0.5740456654732862,0.6712876678600472,0.6210714285714285,0.11622462417795174,0.5721069788583061,0.6700358782845509,0.637984126984127,0.14708275556835596,0.5760194078926932,0.6999488460755607,0.6210714285714285,0.11622462417795174,0.5721069788583061,0.6700358782845509,0.5993756211109152,0.135827879070011,0.5421524861564785,0.656598756065352,0.6478571428571428,0.2163896711858456,0.5566940072638128,0.7390202784504728,0.640984126984127,0.13417880105688904,0.5844557346284952,0.6975125193397588,0.621974848680731,0.14044957244659054,0.5628046334536964,0.6811450639077657,0.6319545007526631,0.17796325238874222,0.5569800899167076,0.7069289115886187,0.6851530612244897,0.11797176156372047,0.6354525573294548,0.7348535651195246,0.45288491270634124,0.04136048038734299,0.43546009265327,0.47030973275941246,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_depth"": 5, ""model__criterion"": ""gini""}"
n89,S3_D,RandomForest,None,7,0.36,0.6586666666666666,0.10836839830211985,0.6130119783707385,0.7043213549625947,0.6575,0.10929038272008221,0.6114568874782342,0.7035431125217657,0.6789935064935064,0.1183099035761257,0.6291505462327966,0.7288364667542162,0.6575,0.10929038272008221,0.6114568874782342,0.7035431125217657,0.64749360769949,0.11536314226225078,0.5988920930204746,0.6960951223785055,0.6807142857142857,0.1543848887603674,0.6156732397600407,0.7457553316685307,0.6857619047619048,0.14494194457281248,0.6246990912096628,0.7468247183141468,0.6657028265851795,0.10604221249320843,0.621028140667142,0.7103775125032171,0.6712043949296824,0.12847617429962918,0.6170784709241399,0.7253303189352249,0.7687755102040816,0.10744583013776833,0.7235094920614006,0.8140415283467627,0.42596636498422213,0.059385351250665915,0.40094781951181646,0.4509849104566278,"{""model__n_estimators"": 300, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 5}"
n89,S3_E,DecisionTree,None,7,0.52,0.6535238095238095,0.09554502921507613,0.6132714980069537,0.6937761210406653,0.65,0.0972845605134017,0.6090148386814459,0.6909851613185541,0.7040447885447887,0.14697184516185194,0.6421267950681748,0.7659627820214026,0.65,0.0972845605134017,0.6090148386814459,0.6909851613185541,0.6189258170823657,0.1190906350949751,0.5687539412457654,0.669097692918966,0.7914285714285715,0.2520689895846057,0.6852340412070281,0.8976231016501148,0.6368356088356089,0.12077629848033337,0.5859535772927681,0.6877176403784496,0.680211633642378,0.14303249433068296,0.6199532553036009,0.7404700119811551,0.7367654477153261,0.1986877622588554,0.6530599764131259,0.8204709190175264,0.7344387755102042,0.09148458561099146,0.695897094490727,0.7729804565296814,0.4435062952920096,0.023995176532475262,0.4333973306643161,0.45361525991970303,"{""model__min_samples_split"": 10, ""model__min_samples_leaf"": 5, ""model__max_depth"": 4, ""model__criterion"": ""entropy""}"
