population,scenario,model,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params,n_features,features_used
P2,S1,Dummy,0.3,0.8063157894736841,0.01835325870964491,0.7985837170362254,0.8140478619111428,0.5,0.0,,,0.40315789473684205,0.009176629354822455,0.3992918585181127,0.4070239309555714,0.5,0.0,,,0.44633053221288516,0.005552345501367277,0.4439913760829817,0.4486696883427886,0.5,0.0,,,0.8,0.5,0.4,0.5,0.4444444444444444,0.5,0.0,{},,
P2,S1,LogisticRegression,0.5,0.7348421052631581,0.06360926429503116,0.7080440610028126,0.7616401495235036,0.6409999999999999,0.10949016952321437,0.5948727189903211,0.6871272810096787,0.6094268117503412,0.09603452233313489,0.5689682809289822,0.6498853425717002,0.6409999999999999,0.10949016952321437,0.5948727189903211,0.6871272810096787,0.605124695097773,0.0919879767323402,0.5663709396627263,0.6438784505328197,0.7079583333333334,0.12866936525667466,0.6537510196139658,0.762165647052701,0.72,0.6000000000000001,0.587719298245614,0.6000000000000001,0.592074592074592,0.69,0.4,"{""model__class_weight"": ""balanced"", ""model__C"": 0.01}",,
P2,S1,DecisionTree,0.45,0.7523157894736844,0.1015484546542156,0.7095342856699071,0.7950972932774617,0.6032500000000001,0.12213534159557038,0.5517954151041616,0.6547045848958385,0.6352426550917263,0.1861618835081281,0.5568142304097292,0.7136710797737233,0.6032500000000001,0.12213534159557038,0.5517954151041616,0.6547045848958385,0.59409163155797,0.13011563969701262,0.5392750146672117,0.6489082484487282,0.583,0.12502212304228402,0.530329238532457,0.635670761467543,0.76,0.55,0.5757575757575758,0.55,0.5535714285714286,0.4749999999999999,0.2,"{""model__min_samples_split"": 4, ""model__min_samples_leaf"": 3, ""model__max_features"": ""sqrt"", ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.0}",,
P2,S1,RandomForest,0.5,0.7507368421052633,0.08485777575015244,0.71498697994934,0.7864867042611865,0.6044999999999999,0.12360707234350844,0.5524253874060006,0.6565746125939993,0.5968899218256803,0.13307434247370445,0.5408268285160904,0.6529530151352703,0.6044999999999999,0.12360707234350844,0.5524253874060006,0.6565746125939993,0.5916608424001278,0.11945381966876856,0.541335959978857,0.6419857248213987,0.5928541666666667,0.16575306369717574,0.5230238049029675,0.6626845284303658,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.74,0.4,"{""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 1, ""model__max_features"": ""sqrt"", ""model__max_depth"": 6, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",,
P2,S2,Dummy,0.3,0.8063157894736841,0.01835325870964491,0.7985837170362254,0.8140478619111428,0.5,0.0,,,0.40315789473684205,0.009176629354822455,0.3992918585181127,0.4070239309555714,0.5,0.0,,,0.44633053221288516,0.005552345501367277,0.4439913760829817,0.4486696883427886,0.5,0.0,,,0.8,0.5,0.4,0.5,0.4444444444444444,0.5,0.0,{},,
P2,S2,LogisticRegression,0.5,0.7103157894736841,0.10544437033553314,0.6658929693927953,0.754738609554573,0.6385833333333333,0.1492063727414706,0.5757239523144607,0.7014427143522058,0.6005793405940464,0.12097277759413583,0.5496145340647903,0.6515441471233024,0.6385833333333333,0.1492063727414706,0.5757239523144607,0.7014427143522058,0.5989848459084276,0.12997618474053868,0.5442269802096118,0.6537427116072434,0.682,0.12663428862498322,0.6286500468279312,0.7353499531720689,0.76,0.625,0.625,0.625,0.625,0.69,0.4,"{""model__class_weight"": ""balanced"", ""model__C"": 1.0}",,
P2,S2,DecisionTree,0.45,0.5531578947368421,0.09523552957894876,0.5130359727951436,0.5932798166785406,0.5373333333333333,0.12947533012551507,0.48278647344145703,0.5918801932252096,0.5230566100566101,0.0911025427983041,0.4846758804381152,0.5614373396751049,0.5373333333333333,0.12947533012551507,0.48278647344145703,0.5918801932252096,0.47461083225265654,0.094422618757812,0.43483138275433514,0.514390281750978,0.5911666666666666,0.11170907155046392,0.5441045810275897,0.6382287523057435,0.76,0.85,0.7272727272727273,0.85,0.7242647058823529,0.8899999999999999,1.0,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 8, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced"", ""model__ccp_alpha"": 0.015}",,
P2,S2,RandomForest,0.5,0.7345263157894736,0.07851573231911327,0.701448302812276,0.7676043287666712,0.6035833333333334,0.11575164985625234,0.5548181436957264,0.6523485229709404,0.5877472197565077,0.1120597512870904,0.5405373957147395,0.6349570437982759,0.6035833333333334,0.11575164985625234,0.5548181436957264,0.6523485229709404,0.5852908409261547,0.10734694075410485,0.540066484043192,0.6305151978091174,0.6097083333333334,0.1458051966904625,0.5482818389758973,0.6711348276907695,0.8,0.65,0.6785714285714286,0.65,0.6612466124661247,0.78,0.4,"{""model__n_estimators"": 800, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": 1.0, ""model__max_depth"": 4, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}",,
P2,S3,Dummy,0.3,0.8063157894736841,0.01835325870964491,0.7985837170362254,0.8140478619111428,0.5,0.0,,,0.40315789473684205,0.009176629354822455,0.3992918585181127,0.4070239309555714,0.5,0.0,,,0.44633053221288516,0.005552345501367277,0.4439913760829817,0.4486696883427886,0.5,0.0,,,0.8,0.5,0.4,0.5,0.4444444444444444,0.5,0.0,{},,
P2,S3,LogisticRegression,0.5,0.7273684210526317,0.10232477759957909,0.6842598589676316,0.7704769831376317,0.6709999999999999,0.14892079363802013,0.6082609310384811,0.7337390689615187,0.6220287066734436,0.11725758752412217,0.57262907825205,0.6714283350948371,0.6709999999999999,0.14892079363802013,0.6082609310384811,0.7337390689615187,0.6253898503458537,0.12714465647858456,0.5718248835200122,0.6789548171716953,0.6970833333333334,0.14186658687732717,0.6373161419291131,0.7568505247375537,0.76,0.625,0.625,0.625,0.625,0.85,0.4,"{""model__class_weight"": ""balanced"", ""model__C"": 0.1}",,
