population,scenario,model,feature_selection,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params,cutoff,cv_accuracy,cv_balanced_accuracy
P2,S6,DecisionTree,False,0.6,0.7026315789473685,0.096069573127429,0.6621582815232628,0.7431048763714742,0.665,0.12235535678233844,0.6134527245695625,0.7165472754304376,0.6286367700926524,0.09553804079510853,0.5883874027379351,0.6688861374473697,0.665,0.12235535678233844,0.6134527245695625,0.7165472754304376,0.6126120003034908,0.09992831189344256,0.5705130489217931,0.6547109516851886,0.7279999999999999,0.1314876552084728,0.6726053645955947,0.783394635404405,0.76,0.85,0.7272727272727273,0.85,0.7242647058823529,0.85,1.0,"{""model__min_samples_split"": 10, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.0}",C1,0.7026 ± 0.0961,0.6650 ± 0.1224
P2,S6,RandomForest,False,0.5,0.7554736842105264,0.07439849282123948,0.7241302293596846,0.7868171390613682,0.6204166666666666,0.11150641486280309,0.573439958573546,0.6673933747597872,0.6217798238053657,0.14539216406503444,0.5605273365945278,0.6830323110162035,0.6204166666666666,0.11150641486280309,0.573439958573546,0.6673933747597872,0.6034533733168328,0.10968134219284523,0.5572455528807212,0.6496611937529444,0.714375,0.13073875296857385,0.6592958707658658,0.7694541292341341,0.84,0.825,0.7579365079365079,0.825,0.7807017543859649,0.8500000000000001,0.8,"{""model__n_estimators"": 200, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 1, ""model__max_features"": ""log2"", ""model__max_depth"": null, ""model__criterion"": ""entropy"", ""model__class_weight"": null}",C1,0.7555 ± 0.0744,0.6204 ± 0.1115
P2,S6,DecisionTree,True,0.55,0.7036842105263159,0.11447580155331623,0.6554565249719662,0.7519118960806657,0.6259999999999999,0.17191640410385509,0.5535730751280764,0.6984269248719234,0.5908509529686,0.13234445804540318,0.5350953537863409,0.6466065521508592,0.6259999999999999,0.17191640410385509,0.5535730751280764,0.6984269248719234,0.5853955701331053,0.14184163737684166,0.5256388897421108,0.6451522505240997,0.6337708333333334,0.17818594717550915,0.5587026030699962,0.7088390635966706,0.52,0.625,0.5833333333333334,0.625,0.5,0.63,0.8,"{""selector__k"": 5, ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 3, ""model__max_features"": ""sqrt"", ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.0}",C1,0.7037 ± 0.1145,0.6260 ± 0.1719
P2,S6,RandomForest,True,0.45,0.7453684210526316,0.08095099574379155,0.7112644522219369,0.7794723898833262,0.6290833333333333,0.11006387034606567,0.5827143570263837,0.6754523096402829,0.6196365886435546,0.12058106407864583,0.5688368077004583,0.670436369586651,0.6290833333333333,0.11006387034606567,0.5827143570263837,0.6754523096402829,0.6104092553471766,0.10477742778869906,0.5662674125120907,0.6545510981822625,0.7235416666666667,0.10414124689840983,0.6796678414520407,0.7674154918812928,0.88,0.925,0.8125,0.925,0.8440748440748441,0.8999999999999999,1.0,"{""selector__k"": 12, ""selector__importance_type"": ""permutation"", ""model__n_estimators"": 500, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 3, ""model__max_features"": 0.5, ""model__max_depth"": null, ""model__criterion"": ""entropy"", ""model__class_weight"": null}",C1,0.7454 ± 0.0810,0.6291 ± 0.1101
P2,S6,DecisionTree,False,0.3,0.7512631578947367,0.0742799973447776,0.7199696241844407,0.7825566916050328,0.6544999999999999,0.10040141654600516,0.6122017336354979,0.6967982663645018,0.6356718379659556,0.0897744357504847,0.5978506285972921,0.6734930473346191,0.6544999999999999,0.10040141654600516,0.6122017336354979,0.6967982663645018,0.6331178338648273,0.09338815290802256,0.5937741960668251,0.6724614716628295,0.6931875,0.1339228439251497,0.6367669402159459,0.749608059784054,0.92,0.875,0.875,0.875,0.875,0.915,0.8,"{""model__min_samples_split"": 2, ""model__min_samples_leaf"": 5, ""model__max_features"": ""log2"", ""model__max_depth"": 6, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.015}",C2,0.7513 ± 0.0743,0.6545 ± 0.1004
P2,S6,RandomForest,False,0.45,0.732421052631579,0.08419315610324891,0.6969511891033935,0.7678909161597645,0.6489999999999999,0.1325512479508712,0.5931572819821318,0.704842718017868,0.6174260690290102,0.1098802948555783,0.5711344315212704,0.66371770653675,0.6489999999999999,0.1325512479508712,0.5931572819821318,0.704842718017868,0.6190209778534551,0.11712251146927956,0.5696782558298371,0.6683636998770731,0.7188333333333334,0.1398188063570531,0.6599288545170666,0.7777378121496002,0.8,0.8,0.7205882352941176,0.8,0.7401247401247402,0.9,0.8,"{""model__n_estimators"": 800, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": 0.7, ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": null}",C2,0.7324 ± 0.0842,0.6490 ± 0.1326
P2,S6,DecisionTree,True,0.6,0.6832631578947368,0.08406197423606808,0.6478485601760497,0.7186777556134238,0.5832499999999999,0.134852645918095,0.5264377225119847,0.6400622774880151,0.5578653780859664,0.11384777028575119,0.5099022767850522,0.6058284793868806,0.5832499999999999,0.134852645918095,0.5264377225119847,0.6400622774880151,0.5522265968111876,0.11454090034157023,0.5039714856887502,0.600481707933625,0.6105208333333334,0.1623587126165393,0.5421204829288625,0.6789211837378043,0.76,0.55,0.5757575757575758,0.55,0.5535714285714286,0.7849999999999999,0.2,"{""selector__k"": ""all"", ""selector__importance_type"": ""permutation"", ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 6, ""model__criterion"": ""log_loss"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.015}",C2,0.6833 ± 0.0841,0.5832 ± 0.1349
P2,S6,RandomForest,True,0.5,0.7507368421052633,0.0779534629267454,0.717895708460501,0.7835779757500255,0.6566666666666666,0.12405755832587459,0.6044022681440309,0.7089310651893024,0.6324169898728722,0.1190281295269862,0.5822714471026271,0.6825625326431173,0.6566666666666666,0.12405755832587459,0.6044022681440309,0.7089310651893024,0.6312074857796738,0.11802970654412141,0.5814825701552051,0.6809324014041425,0.7225,0.1299966612819131,0.6677335077077449,0.7772664922922552,0.84,0.9,0.7777777777777778,0.9,0.8015873015873016,0.87,1.0,"{""selector__k"": 25, ""selector__importance_type"": ""gini"", ""model__n_estimators"": 500, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 5, ""model__criterion"": ""entropy"", ""model__class_weight"": null}",C2,0.7507 ± 0.0780,0.6567 ± 0.1241
P2,S6,DecisionTree,False,0.7,0.7041052631578948,0.10143862683342285,0.6613700288847469,0.7468404974310426,0.59275,0.13293837335815084,0.5367441893270987,0.6487558106729013,0.5757370603252956,0.14001367560744007,0.5167504847444344,0.6347236359061568,0.59275,0.13293837335815084,0.5367441893270987,0.6487558106729013,0.5663389551956521,0.13208531172323104,0.5106925321638868,0.6219853782274175,0.6213958333333333,0.13471113642820248,0.5646431725947874,0.6781484940718792,0.72,0.75,0.6666666666666667,0.75,0.6666666666666667,0.8,0.8,"{""model__min_samples_split"": 4, ""model__min_samples_leaf"": 3, ""model__max_features"": null, ""model__max_depth"": 9, ""model__criterion"": ""entropy"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}",C3,0.7041 ± 0.1014,0.5927 ± 0.1329
P2,S6,RandomForest,False,0.5,0.7733684210526316,0.07029939928737802,0.7437518795872083,0.8029849625180548,0.6744999999999999,0.11835428218324467,0.6246383434080094,0.7243616565919904,0.6458253495730275,0.11256755890702726,0.5984015904822436,0.6932491086638114,0.6744999999999999,0.11835428218324467,0.6246383434080094,0.7243616565919904,0.6486466989072006,0.11052515357312294,0.6020833878838817,0.6952100099305195,0.6811666666666666,0.15455691598171134,0.6160531471011851,0.7462801862321481,0.88,0.8500000000000001,0.8070175438596491,0.8500000000000001,0.8251748251748252,0.8500000000000001,0.8,"{""model__n_estimators"": 200, ""model__min_samples_split"": 10, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 6, ""model__criterion"": ""gini"", ""model__class_weight"": null}",C3,0.7734 ± 0.0703,0.6745 ± 0.1184
