model_scenario,class,accuracy,precision,recall,f1,support
S1_DecisionTree,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S1_DecisionTree,B,0.0,0.0,0.0,0.0,4
S1_DecisionTree,C,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,7
S1_DecisionTree,D,0.8,0.0,0.0,0.4444444444444444,5
S1_DecisionTree,E,0.5,0.0,0.0,0.3333333333333333,2
S1_RandomForest,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S1_RandomForest,B,0.25,1.0,0.25,0.2,4
S1_RandomForest,C,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,7
S1_RandomForest,D,0.8,0.0,0.0,0.4444444444444444,5
S1_RandomForest,E,0.5,0.5,1.0,0.3333333333333333,2
S2_DecisionTree,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S2_DecisionTree,B,0.0,0.0,0.0,0.0,4
S2_DecisionTree,C,0.5714285714285714,0.6,0.75,0.5333333333333333,7
S2_DecisionTree,D,0.8,0.0,0.0,0.4444444444444444,5
S2_DecisionTree,E,1.0,1.0,1.0,1.0,2
S2_RandomForest,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S2_RandomForest,B,0.25,1.0,0.25,0.2,4
S2_RandomForest,C,0.7142857142857143,0.6666666666666666,1.0,0.65,7
S2_RandomForest,D,0.8,0.0,0.0,0.4444444444444444,5
S2_RandomForest,E,0.0,0.0,0.0,0.0,2
S3_DecisionTree,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S3_DecisionTree,B,0.0,0.0,0.0,0.0,4
S3_DecisionTree,C,0.5714285714285714,0.6,0.75,0.5333333333333333,7
S3_DecisionTree,D,0.8,0.0,0.0,0.4444444444444444,5
S3_DecisionTree,E,1.0,1.0,1.0,1.0,2
S3_RandomForest,A,0.7142857142857143,1.0,0.6666666666666666,0.65,7
S3_RandomForest,B,0.25,1.0,0.25,0.2,4
S3_RandomForest,C,0.42857142857142855,0.5,0.5,0.41666666666666663,7
S3_RandomForest,D,0.8,0.0,0.0,0.4444444444444444,5
S3_RandomForest,E,0.0,0.0,0.0,0.0,2
