Population,Model_Scenario,NIM,Class,True_Label,Predicted_Label,Predicted_Probability,Error_Type
P2,S1_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S1_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S1_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S1_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S1_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S1_LogisticRegression,60200125023,C,0,1,0.7395921415407833,False Positive
P2,S1_LogisticRegression,60200125147,A,0,1,0.6858818597206189,False Positive
P2,S1_LogisticRegression,60200125137,C,0,1,0.7387270027167232,False Positive
P2,S1_LogisticRegression,60200125156,C,1,0,0.3011768068815352,False Negative
P2,S1_LogisticRegression,60200125016,A,1,0,0.3241240298372509,False Negative
P2,S1_LogisticRegression,60200125133,C,1,0,0.138618571064385,False Negative
P2,S1_LogisticRegression,60200125069,E,1,0,0.4239482406449024,False Negative
P2,S1_LogisticRegression,60200125110,D,1,0,0.4012605745397744,False Negative
P2,S1_DecisionTree,60200125084,C,0,1,0.6296296296296297,False Positive
P2,S1_DecisionTree,60200125023,C,0,1,0.8166666666666667,False Positive
P2,S1_DecisionTree,60200125137,C,0,1,0.8166666666666667,False Positive
P2,S1_DecisionTree,60200125126,B,1,0,0.3333333333333333,False Negative
P2,S1_DecisionTree,60200125110,D,1,0,0.037037037037037,False Negative
P2,S1_RandomForest,60200125023,C,0,1,0.5697694288652492,False Positive
P2,S1_RandomForest,60200125147,A,0,1,0.525031078344227,False Positive
P2,S1_RandomForest,60200125156,C,1,0,0.4570651688877979,False Negative
P2,S1_RandomForest,60200125016,A,1,0,0.3673263727943444,False Negative
P2,S1_RandomForest,60200125133,C,1,0,0.2920139937024074,False Negative
P2,S1_RandomForest,60200125110,D,1,0,0.3936792939826636,False Negative
P2,S2_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S2_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S2_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S2_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S2_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S2_LogisticRegression,60200125023,C,0,1,0.576114782459503,False Positive
P2,S2_LogisticRegression,60200125147,A,0,1,0.7828165426733105,False Positive
P2,S2_LogisticRegression,60200125137,C,0,1,0.5737417598719056,False Positive
P2,S2_LogisticRegression,60200125156,C,1,0,0.2703658144927387,False Negative
P2,S2_LogisticRegression,60200125133,C,1,0,0.067276130754967,False Negative
P2,S2_DecisionTree,60200125084,C,0,1,1.0,False Positive
P2,S2_DecisionTree,60200125023,C,0,1,0.7142857142857143,False Positive
P2,S2_DecisionTree,60200125147,A,0,1,0.5,False Positive
P2,S2_DecisionTree,60200125137,C,0,1,0.7142857142857143,False Positive
P2,S2_DecisionTree,60200125015,E,1,0,0.0,False Negative
P2,S2_RandomForest,60200125023,C,0,1,0.5449350198412701,False Positive
P2,S2_RandomForest,60200125147,A,0,1,0.6403102453102454,False Positive
P2,S2_RandomForest,60200125156,C,1,0,0.4612009379509381,False Negative
P2,S2_RandomForest,60200125016,A,1,0,0.4389157196969698,False Negative
P2,S2_RandomForest,60200125133,C,1,0,0.2338453595016094,False Negative
P2,S2_RandomForest,60200125110,D,1,0,0.4125843253968255,False Negative
P2,S3_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S3_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S3_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S3_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S3_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S3_LogisticRegression,60200125023,C,0,1,0.5299240452210418,False Positive
P2,S3_LogisticRegression,60200125147,A,0,1,0.5848707123304195,False Positive
P2,S3_LogisticRegression,60200125137,C,0,1,0.5390712378628694,False Positive
P2,S3_LogisticRegression,60200125156,C,1,0,0.3880174018596616,False Negative
P2,S3_LogisticRegression,60200125016,A,1,0,0.3734013062402681,False Negative
P2,S3_LogisticRegression,60200125133,C,1,0,0.2112752623287753,False Negative
P2,S3_DecisionTree,60200125023,C,0,1,0.7142857142857143,False Positive
P2,S3_DecisionTree,60200125137,C,0,1,0.7142857142857143,False Positive
P2,S3_DecisionTree,60200125156,C,1,0,0.0769230769230769,False Negative
P2,S3_DecisionTree,60200125016,A,1,0,0.0,False Negative
P2,S3_DecisionTree,60200125133,C,1,0,0.2,False Negative
P2,S3_DecisionTree,60200125069,E,1,0,0.2,False Negative
P2,S3_DecisionTree,60200125110,D,1,0,0.0769230769230769,False Negative
P2,S3_RandomForest,60200125023,C,0,1,0.5779832705349343,False Positive
P2,S3_RandomForest,60200125147,A,0,1,0.6311571132769728,False Positive
P2,S3_RandomForest,60200125016,A,1,0,0.3898885975135978,False Negative
P2,S3_RandomForest,60200125133,C,1,0,0.1911507699816524,False Negative
P2,S4_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S4_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S4_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S4_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S4_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S4_LogisticRegression,60200125147,A,0,1,0.9520899927298356,False Positive
P2,S4_LogisticRegression,60200125137,C,0,1,0.4690948871898279,False Positive
P2,S4_LogisticRegression,60200125156,C,1,0,0.0847953907769299,False Negative
P2,S4_LogisticRegression,60200125016,A,1,0,0.0308411951608408,False Negative
P2,S4_LogisticRegression,60200125133,C,1,0,0.0184805526439432,False Negative
P2,S4_LogisticRegression,60200125087,C,1,0,0.3670246200079461,False Negative
P2,S4_DecisionTree,60200125147,A,0,1,0.7857142857142857,False Positive
P2,S4_DecisionTree,60200125137,C,0,1,0.9047619047619048,False Positive
P2,S4_DecisionTree,60200125016,A,1,0,0.0,False Negative
P2,S4_DecisionTree,60200125045,E,1,0,0.0,False Negative
P2,S4_DecisionTree,60200125133,C,1,0,0.0714285714285714,False Negative
P2,S4_DecisionTree,60200125141,D,1,0,0.5555555555555556,False Negative
P2,S4_DecisionTree,60200125011,C,1,0,0.5555555555555556,False Negative
P2,S4_DecisionTree,60200125087,C,1,0,0.5555555555555556,False Negative
P2,S4_DecisionTree,60200125024,C,1,0,0.5555555555555556,False Negative
P2,S4_DecisionTree,60200125015,E,1,0,0.0,False Negative
P2,S4_RandomForest,60200125023,C,0,1,0.704276998001998,False Positive
P2,S4_RandomForest,60200125147,A,0,1,0.7291421803686507,False Positive
P2,S4_RandomForest,60200125137,C,0,1,0.6636169386169386,False Positive
P2,S4_RandomForest,60200125156,C,1,0,0.3803442529692528,False Negative
P2,S4_RandomForest,60200125133,C,1,0,0.4520630314130313,False Negative
P2,S5_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S5_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S5_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S5_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S5_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S5_LogisticRegression,60200125023,C,0,1,0.5271136104810011,False Positive
P2,S5_LogisticRegression,60200125147,A,0,1,0.7162638693519531,False Positive
P2,S5_LogisticRegression,60200125137,C,0,1,0.5615492017880669,False Positive
P2,S5_LogisticRegression,60200125156,C,1,0,0.2329311379079716,False Negative
P2,S5_LogisticRegression,60200125016,A,1,0,0.3457689991620548,False Negative
P2,S5_LogisticRegression,60200125133,C,1,0,0.1527668070959375,False Negative
P2,S5_DecisionTree,60200125023,C,0,1,0.75,False Positive
P2,S5_DecisionTree,60200125147,A,0,1,1.0,False Positive
P2,S5_DecisionTree,60200125137,C,0,1,0.75,False Positive
P2,S5_DecisionTree,60200125030,D,1,0,0.25,False Negative
P2,S5_DecisionTree,60200125133,C,1,0,0.0,False Negative
P2,S5_RandomForest,60200125023,C,0,1,0.7875187728937726,False Positive
P2,S5_RandomForest,60200125147,A,0,1,0.6240238511488513,False Positive
P2,S5_RandomForest,60200125137,C,0,1,0.7956798201798199,False Positive
P2,S5_RandomForest,60200125156,C,1,0,0.0945059523809523,False Negative
P2,S5_RandomForest,60200125133,C,1,0,0.4050828199578198,False Negative
P2,S1_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S1_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S1_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S1_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S1_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S1_LogisticRegression,60200125023,C,0,1,0.7395921415407833,False Positive
P2,S1_LogisticRegression,60200125147,A,0,1,0.6858818597206189,False Positive
P2,S1_LogisticRegression,60200125137,C,0,1,0.7387270027167232,False Positive
P2,S1_LogisticRegression,60200125156,C,1,0,0.3011768068815352,False Negative
P2,S1_LogisticRegression,60200125016,A,1,0,0.3241240298372509,False Negative
P2,S1_LogisticRegression,60200125133,C,1,0,0.13861857106438502,False Negative
P2,S1_LogisticRegression,60200125069,E,1,0,0.4239482406449024,False Negative
P2,S1_LogisticRegression,60200125110,D,1,0,0.40126057453977443,False Negative
P2,S1_DecisionTree,60200125084,C,0,1,0.6296296296296297,False Positive
P2,S1_DecisionTree,60200125023,C,0,1,0.8166666666666667,False Positive
P2,S1_DecisionTree,60200125137,C,0,1,0.8166666666666667,False Positive
P2,S1_DecisionTree,60200125126,B,1,0,0.3333333333333333,False Negative
P2,S1_DecisionTree,60200125110,D,1,0,0.037037037037037035,False Negative
P2,S1_RandomForest,60200125023,C,0,1,0.5697694288652492,False Positive
P2,S1_RandomForest,60200125147,A,0,1,0.525031078344227,False Positive
P2,S1_RandomForest,60200125156,C,1,0,0.45706516888779797,False Negative
P2,S1_RandomForest,60200125016,A,1,0,0.3673263727943444,False Negative
P2,S1_RandomForest,60200125133,C,1,0,0.2920139937024074,False Negative
P2,S1_RandomForest,60200125110,D,1,0,0.39367929398266366,False Negative
P2,S2_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S2_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S2_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S2_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S2_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S2_LogisticRegression,60200125023,C,0,1,0.576114782459503,False Positive
P2,S2_LogisticRegression,60200125147,A,0,1,0.7828165426733105,False Positive
P2,S2_LogisticRegression,60200125137,C,0,1,0.5737417598719056,False Positive
P2,S2_LogisticRegression,60200125156,C,1,0,0.2703658144927387,False Negative
P2,S2_LogisticRegression,60200125133,C,1,0,0.06727613075496709,False Negative
P2,S2_DecisionTree,60200125084,C,0,1,1.0,False Positive
P2,S2_DecisionTree,60200125023,C,0,1,0.7142857142857143,False Positive
P2,S2_DecisionTree,60200125147,A,0,1,0.5,False Positive
P2,S2_DecisionTree,60200125137,C,0,1,0.7142857142857143,False Positive
P2,S2_DecisionTree,60200125015,E,1,0,0.0,False Negative
P2,S2_RandomForest,60200125023,C,0,1,0.5449350198412701,False Positive
P2,S2_RandomForest,60200125147,A,0,1,0.6403102453102454,False Positive
P2,S2_RandomForest,60200125156,C,1,0,0.46120093795093814,False Negative
P2,S2_RandomForest,60200125016,A,1,0,0.43891571969696985,False Negative
P2,S2_RandomForest,60200125133,C,1,0,0.23384535950160948,False Negative
P2,S2_RandomForest,60200125110,D,1,0,0.41258432539682555,False Negative
P2,S3_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S3_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S3_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S3_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S3_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S3_LogisticRegression,60200125023,C,0,1,0.5299240452210418,False Positive
P2,S3_LogisticRegression,60200125147,A,0,1,0.5848707123304195,False Positive
P2,S3_LogisticRegression,60200125137,C,0,1,0.5390712378628694,False Positive
P2,S3_LogisticRegression,60200125156,C,1,0,0.38801740185966166,False Negative
P2,S3_LogisticRegression,60200125016,A,1,0,0.3734013062402681,False Negative
P2,S3_LogisticRegression,60200125133,C,1,0,0.21127526232877533,False Negative
P2,S3_DecisionTree,60200125023,C,0,1,0.7142857142857143,False Positive
P2,S3_DecisionTree,60200125137,C,0,1,0.7142857142857143,False Positive
P2,S3_DecisionTree,60200125156,C,1,0,0.07692307692307693,False Negative
P2,S3_DecisionTree,60200125016,A,1,0,0.0,False Negative
P2,S3_DecisionTree,60200125133,C,1,0,0.2,False Negative
P2,S3_DecisionTree,60200125069,E,1,0,0.2,False Negative
P2,S3_DecisionTree,60200125110,D,1,0,0.07692307692307693,False Negative
P2,S3_RandomForest,60200125023,C,0,1,0.5779832705349343,False Positive
P2,S3_RandomForest,60200125147,A,0,1,0.6311571132769728,False Positive
P2,S3_RandomForest,60200125016,A,1,0,0.3898885975135978,False Negative
P2,S3_RandomForest,60200125133,C,1,0,0.19115076998165248,False Negative
P2,S4_Dummy,60200125084,C,0,1,1.0,False Positive
P2,S4_Dummy,60200125152,A,0,1,1.0,False Positive
P2,S4_Dummy,60200125023,C,0,1,1.0,False Positive
P2,S4_Dummy,60200125147,A,0,1,1.0,False Positive
P2,S4_Dummy,60200125137,C,0,1,1.0,False Positive
P2,S4_LogisticRegression,60200125147,A,0,1,0.9520899927298356,False Positive
