,Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,TP_Std,Respons_Std,Laporan_Std,TP_Min,TP_Max,Respons_Min,Respons_Max,Laporan_Min,Laporan_Max,TP_Trend,Respons_Trend,Laporan_Trend,TP_Last2_Mean,Respons_Last2_Mean,Laporan_Last2_Mean,TP_LateEarly_Gap,Respons_LateEarly_Gap,Laporan_LateEarly_Gap,Activity_Score
Attendance_PreFinal_Rate,1.0,0.8110802706561513,0.9138423029736079,0.6454463456003373,0.7833796992087024,0.8895503334521275,0.6954032182375245,-0.46921985222875495,-0.5320142318649256,-0.6236557297662176,0.06414896720880156,0.5651001091157368,0.30452281412068305,0.6089763198481916,0.30249505945425614,0.47316845917365546,0.6069748897614211,-0.05782428844964602,-0.050442433967980246,-0.15447120901162487,0.4431968594129813,0.4431968594129813,0.42513833930310985,-0.05782428844964602,-0.050442433967980246,-0.15447120901162487,0.90492069264576
TP_Mean,0.8110802706561513,1.0,0.9242746683106419,0.8063883065061006,0.9635701707820004,0.8785077152956733,0.8471978669144616,-0.4739251758177743,-0.7074195759854225,-0.6168657438271246,0.06277868574887008,0.7192740373281747,0.06525052992689241,0.6089547696467777,0.06019095769255798,0.6048061820914616,0.769272008606795,-0.1017822272395689,-0.11576055584422694,-0.07396495825551745,0.41241208450786515,0.41241208450786515,0.6412338752287841,-0.1017822272395689,-0.11576055584422694,-0.07396495825551745,0.9627997231959843
Respons_Mean,0.9138423029736079,0.9242746683106419,1.0,0.688058283411974,0.9052154529670345,0.9724600453422241,0.7587765169189143,-0.49610437313952427,-0.6087115544920146,-0.7051871582890247,0.14065452293215308,0.6441142407538811,0.2291895724707862,0.7002063631590254,0.2306156656553137,0.4784751011421768,0.7009335394871352,-0.10331025774494121,-0.0858970880641061,-0.12966260134621427,0.5176850221730444,0.5176850221730444,0.5424864529452302,-0.10331025774494121,-0.0858970880641061,-0.12966260134621427,0.9522174509035254
Laporan_Mean,0.6454463456003373,0.8063883065061006,0.688058283411974,1.0,0.7068517336087677,0.5843674529443719,0.8802214832052851,-0.631249587354161,-0.6353323523189707,-0.4435298313066586,-0.20451479128917943,0.5896962599854395,-0.21302875714073613,0.38210739374703295,-0.22027198311176344,0.8349717301283751,0.7878143453026437,-0.23569338405686155,-0.25183907855273463,-0.041599433579365644,0.01702004500255874,0.01702004500255874,0.7487021242556221,-0.23569338405686155,-0.25183907855273463,-0.041599433579365644,0.8637170902508664
TP_Completion_Rate,0.7833796992087024,0.9635701707820004,0.9052154529670345,0.7068517336087677,1.0,0.9183873357157953,0.8289187088722724,-0.3353926512991467,-0.5968595511718434,-0.563353439993888,0.17813849433671716,0.6347884312027272,0.24905272338001275,0.585556423828901,0.2445073210076105,0.46495225691148795,0.7351881747126553,-0.09082234310300188,-0.08478900234185739,-0.1419906808338006,0.5836646437285082,0.5836646437285082,0.5397874371278334,-0.09082234310300188,-0.08478900234185739,-0.1419906808338006,0.9111148188860643
Respons_Completion_Rate,0.8895503334521275,0.8785077152956733,0.9724600453422241,0.5843674529443719,0.9183873357157953,1.0,0.7239086653081453,-0.3634001083856345,-0.5024182198365468,-0.6494855056171582,0.23950552774272887,0.5615360090416949,0.4065561348777519,0.6701297462047788,0.40735326312182896,0.34824097189231484,0.6550841195157323,-0.08044238895473506,-0.04269776432614217,-0.19576397306272017,0.6709109732767252,0.6709109732767252,0.43495756075650854,-0.08044238895473506,-0.04269776432614217,-0.19576397306272017,0.8951827092295312
Laporan_Completion_Rate,0.6954032182375245,0.8471978669144616,0.7587765169189143,0.8802214832052851,0.8289187088722724,0.7239086653081453,1.0,-0.4547523012833625,-0.5130453945954262,-0.4091561799823808,-0.017641916235654864,0.4988733406046187,0.05616551737041935,0.38015146359213636,0.050353560575485394,0.6762003091973294,0.8099719052622932,-0.20512974452408148,-0.19207679833712124,-0.29733797195934614,0.28954618527103304,0.28954618527103304,0.5604243518371858,-0.20512974452408148,-0.19207679833712124,-0.29733797195934614,0.870213920440898
Performance_Volatility,-0.46921985222875495,-0.4739251758177743,-0.49610437313952427,-0.631249587354161,-0.3353926512991467,-0.3634001083856345,-0.4547523012833625,1.0,0.7919364986177864,0.7896105024128021,0.59315742074164,-0.7149405782095323,0.26285684311005514,-0.6734357861392478,0.2622014429148067,-0.785122114699253,-0.26812283048379204,0.031101654564550628,0.029511670282045467,-0.034075632389881,0.11596028349281703,0.11596028349281703,-0.4590194262092933,0.031101654564550628,0.029511670282045467,-0.034075632389881,-0.5676863114304821
TP_Std,-0.5320142318649256,-0.7074195759854225,-0.6087115544920146,-0.6353323523189707,-0.5968595511718434,-0.5024182198365468,-0.5130453945954262,0.7919364986177864,1.0,0.8137304022695877,0.3213145118745752,-0.9577734052111513,0.2550654941123559,-0.7434781510362174,0.26024341803038215,-0.6791294384549442,-0.41805597642126996,0.03313291763215623,0.0813389919722029,-0.1363847774253519,-0.037263314514708275,-0.037263314514708275,-0.5441957504783183,0.03313291763215623,0.0813389919722029,-0.1363847774253519,-0.6781495305055907
Respons_Std,-0.6236557297662176,-0.6168657438271246,-0.7051871582890247,-0.4435298313066586,-0.563353439993888,-0.6494855056171582,-0.4091561799823808,0.7896105024128021,0.8137304022695877,1.0,0.150553291360861,-0.8137258096264189,-0.03547347147056961,-0.9555216021506993,-0.03906487606861308,-0.45676306879067635,-0.3324892525955727,0.016255971428741006,-0.053829036092090755,-0.03760341911416063,-0.26337806679821846,-0.26337806679821846,-0.3956633471272558,0.016255971428741006,-0.053829036092090755,-0.03760341911416063,-0.6446526610889811
