,TP_Mean,TP_Std,TP_Min,TP_Max,TP_Last2_Mean,TP_First2_Mean,TP_Trend,Respons_Mean,Respons_Std,Respons_Min,Respons_Max,Respons_Last2_Mean,Respons_Trend,Laporan_Mean,Laporan_Std,Laporan_Min,Laporan_Max,Laporan_Last2_Mean,Laporan_Trend,Attendance_PreFinal_Rate,Absence_Count,Partial_Attendance_Count,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Mean,Performance_Std,Performance_Late_Mean,Performance_Trend
TP_Mean,1.0,-0.7259156002848691,0.8079796313955504,0.21710698489553276,0.8385002801459722,0.9035287442916253,-0.2774694846097041,0.9507608123229735,-0.6330615758165116,0.6829521544102172,0.21468947694130452,0.7284014623569707,-0.23497306781240226,0.7675324038390311,0.23987548250116789,0.5440875248687433,0.8095844254045627,0.695839340046022,-0.16665756788836444,0.802242625279059,-0.7608326146343057,-0.240034701770262,0.968269707724422,0.9537456179092342,0.8416369280335284,0.9654459028384761,-0.4275897562010326,0.8952409491094043,-0.3132406880595446
TP_Std,-0.7259156002848691,1.0,-0.9392662242199543,0.22401938427912096,-0.5072252210003688,-0.6175746425242336,0.35371290368014235,-0.6733381484244731,0.8426353976489217,-0.7474216154477052,0.22592656620951043,-0.4289116570534556,0.3183107829347855,-0.6849320109631676,0.08208393431027311,-0.599704994923645,-0.5881955894433681,-0.7030944028564264,-0.06584326030953819,-0.556996854663255,0.5952653615532068,-0.11112963818268319,-0.7447564629740749,-0.7154806371416326,-0.6463352356420993,-0.7496067083364595,0.7559960393637015,-0.6638321268642278,0.1932161829071402
TP_Min,0.8079796313955504,-0.9392662242199543,1.0,0.08310769106163968,0.6370175261966305,0.6726408390532995,-0.3357000686788165,0.7768870421613171,-0.8365910204205143,0.8485101597125635,0.08152620326360402,0.5734900362935383,-0.28812107452887536,0.6464845606798376,-0.0010073813689449522,0.5341121732329261,0.5793808742064419,0.6292489163673831,-0.06784730789092264,0.6523903990171884,-0.6353490965949892,-0.12625417280879522,0.7896711725827369,0.7940492810080869,0.6501256437675029,0.7941769664882339,-0.6582534530005093,0.733393437322351,-0.1829327991703804
TP_Max,0.21710698489553276,0.22401938427912096,0.08310769106163968,1.0,0.4439599126457944,0.07884837259058435,0.26680081646485315,0.28260509235231995,0.06861228924360062,0.2041504632790483,0.9990348970826153,0.48152185412863474,0.2729309294252959,-0.09755998000427726,0.10654651281669801,-0.15161643446604975,-0.10842291006923636,-0.21773504180689662,-0.3270550876048263,0.29385652725995265,-0.1035954233245789,-0.8136570125102816,0.1027855089981567,0.21259176457747403,0.012416522592977973,0.12257664220309315,0.25562424168598197,0.24843989339990633,0.16968135120766076
TP_Last2_Mean,0.8385002801459722,-0.5072252210003688,0.6370175261966305,0.4439599126457944,1.0,0.5893609130783146,0.1778103893717498,0.8186276017467008,-0.4800887159115983,0.5818996711571036,0.44444620233046755,0.9053587108474846,0.18845193408307795,0.5266196525917072,0.14981915252850847,0.37938483794078987,0.5330921363817843,0.4669638325988171,-0.13612725795936056,0.782872538083783,-0.729202531742013,-0.28919912535286285,0.7561020136064226,0.7833382119199525,0.6315332387798263,0.7668859805352393,-0.25906462407432657,0.9189949760568616,0.1476507070766669
TP_First2_Mean,0.9035287442916253,-0.6175746425242336,0.6726408390532995,0.07884837259058435,0.5893609130783146,1.0,-0.5037930583929993,0.840154835885028,-0.5041735027923797,0.5398985829826415,0.07606088210045879,0.48314091473566534,-0.44474564960826807,0.7614824578906266,0.3106527513731355,0.5201197628259766,0.8386791935130908,0.6944998695943709,-0.18378425424316677,0.6498568555247192,-0.6117325636083986,-0.21342401150928858,0.9092325501998031,0.860876422311275,0.8145268206523532,0.8949478350464823,-0.35212107748587074,0.7101807776929138,-0.622841121114635
TP_Trend,-0.2774694846097041,0.35371290368014235,-0.3357000686788165,0.26680081646485315,0.1778103893717498,-0.5037930583929993,1.0,-0.23001580466539776,0.2436606095651181,-0.2164692194268272,0.2708435171640075,0.1907795394058568,0.873913880672459,-0.36456392493536566,-0.10773520900942618,-0.275651489317719,-0.4204087898247085,-0.33877571270976126,0.11360426685521845,-0.05417969894237729,0.05635148630914691,-0.004382562494034693,-0.3357925777692692,-0.2682780755923045,-0.2913270455456845,-0.32113563896290204,0.2413665732324609,-0.014502062154320062,0.6954175318720223
Respons_Mean,0.9507608123229735,-0.6733381484244731,0.7768870421613171,0.28260509235231995,0.8186276017467008,0.840154835885028,-0.23001580466539776,1.0,-0.7285241635625932,0.7792083960497128,0.28352352017215154,0.8180392821023168,-0.14887081816422754,0.6689535384071004,0.27957147345026384,0.4480411885500933,0.7359693241639578,0.5882127190707478,-0.212483538368067,0.884712058973828,-0.8393209095889628,-0.26356698194530837,0.8681383012730379,0.9891316498826268,0.7490939471758593,0.9241227688902154,-0.4536079789973231,0.8755633319316349,-0.25400745976741645
Respons_Std,-0.6330615758165116,0.8426353976489217,-0.8365910204205143,0.06861228924360062,-0.4800887159115983,-0.5041735027923797,0.2436606095651181,-0.7285241635625932,1.0,-0.9455072880491558,0.06369707637137596,-0.561439349024523,0.12172318161124111,-0.4716434142560608,-0.037768913566304664,-0.3768196696013362,-0.45039219687310844,-0.46648659020334027,0.059609004870712745,-0.6290480967954255,0.6556134144082137,-0.05647883144795825,-0.5703637235681837,-0.7371374176739777,-0.475580679162506,-0.6474320743421773,0.7359099367493758,-0.6006625093309843,0.09847843898021175
Respons_Min,0.6829521544102172,-0.7474216154477052,0.8485101597125635,0.2041504632790483,0.5818996711571036,0.5398985829826415,-0.2164692194268272,0.7792083960497128,-0.9455072880491558,1.0,0.21006316202335842,0.651738086220482,-0.0942996472858213,0.4153698782154079,0.12370774305795797,0.2946431294893322,0.42973221079942614,0.3796976269423508,-0.1805408555631183,0.6578130778424829,-0.6326013000937367,-0.16058189024530534,0.5975865456350065,0.7646910227028438,0.46184424780699274,0.6564217248203602,-0.6023155889406242,0.6330452949624638,-0.09908845859577296
Respons_Max,0.21468947694130452,0.22592656620951043,0.08152620326360402,0.9990348970826153,0.44444620233046755,0.07606088210045879,0.2708435171640075,0.28352352017215154,0.06369707637137596,0.21006316202335842,1.0,0.4831136423551369,0.27205637594523313,-0.1027494860131281,0.11095846804330502,-0.15816280847095313,-0.11106392100932004,-0.22293865001728347,-0.3300539191356033,0.2910720032290851,-0.10155003708826403,-0.8103559980739471,0.0992355997928068,0.21229315874649568,0.008807021463875516,0.11989806090634966,0.25508411378284057,0.24690181986010712,0.16946083703570633
Respons_Last2_Mean,0.7284014623569707,-0.4289116570534556,0.5734900362935383,0.48152185412863474,0.9053587108474846,0.48314091473566534,0.1907795394058568,0.8180392821023168,-0.561439349024523,0.651738086220482,0.4831136423551369,1.0,0.3089488560313703,0.39996163429020926,0.1692949786719205,0.26874725487357726,0.4202433930187791,0.3351473003719781,-0.15212952941512825,0.8342251004132096,-0.7839128417587994,-0.27965990284812586,0.5948392786351879,0.7719356867255368,0.501209535776688,0.6774242337624992,-0.28728275230945516,0.864358968281902,0.2388873416279896
Respons_Trend,-0.23497306781240226,0.3183107829347855,-0.28812107452887536,0.2729309294252959,0.18845193408307795,-0.44474564960826807,0.873913880672459,-0.14887081816422754,0.12172318161124111,-0.0942996472858213,0.27205637594523313,0.3089488560313703,1.0,-0.3540269328792702,-0.0541339258024243,-0.28061296551034615,-0.3868988816591692,-0.3351739590714147,0.09933425264788343,0.004760298634508735,-0.008886906319898689,0.016698325569493345,-0.31395185799692016,-0.19107552308765757,-0.2637676822721128,-0.27589555522285275,0.17141870242330837,0.037852966876951055,0.7165523994397165
Laporan_Mean,0.7675324038390311,-0.6849320109631676,0.6464845606798376,-0.09755998000427726,0.5266196525917072,0.7614824578906266,-0.36456392493536566,0.6689535384071004,-0.4716434142560608,0.4153698782154079,-0.1027494860131281,0.39996163429020926,-0.3540269328792702,1.0,-0.1461511025444911,0.869338521961276,0.8206781395737976,0.9041373936423495,0.00019695463660647988,0.5953497385365696,-0.5822023396955474,-0.1052514375195262,0.827102337562179,0.7265032387812391,0.924178119489719,0.8956445641360158,-0.6973250721397719,0.7495203760278973,-0.40028766834004437
Laporan_Std,0.23987548250116789,0.08208393431027311,-0.0010073813689449522,0.10654651281669801,0.14981915252850847,0.3106527513731355,-0.10773520900942618,0.27957147345026384,-0.037768913566304664,0.12370774305795797,0.11095846804330502,0.1692949786719205,-0.0541339258024243,-0.1461511025444911,1.0,-0.513209634583695,0.36437631793027386,-0.13510950849260175,-0.3248202704467372,0.12431163975327836,-0.13274185430351523,0.0243436038130319,0.17759570499684477,0.23141681710979314,0.011986184925880513,0.10818258852458792,0.487533092818987,0.05881703742158415,-0.27243220784624894
Laporan_Min,0.5440875248687433,-0.599704994923645,0.5341121732329261,-0.15161643446604975,0.37938483794078987,0.5201197628259766,-0.275651489317719,0.4480411885500933,-0.3768196696013362,0.2946431294893322,-0.15816280847095313,0.26874725487357726,-0.28061296551034615,0.869338521961276,-0.513209634583695,1.0,0.5828914363997794,0.8072531344684518,0.08376201219237855,0.46283013722225913,-0.4569824125235341,-0.06369722209680832,0.6081811925555566,0.5133977651439355,0.7652994098059301,0.6944787075577039,-0.7579443862450981,0.6023865894947297,-0.23000013977303685
Laporan_Max,0.8095844254045627,-0.5881955894433681,0.5793808742064419,-0.10842291006923636,0.5330921363817843,0.8386791935130908,-0.4204087898247085,0.7359693241639578,-0.45039219687310844,0.42973221079942614,-0.11106392100932004,0.4202433930187791,-0.3868988816591692,0.8206781395737976,0.36437631793027386,0.5828914363997794,1.0,0.7577355923990969,-0.1702009358131435,0.5892034165203428,-0.5956726346408777,-0.023419478807925317,0.8326305965521978,0.7649416290855862,0.860004600405597,0.8551855149645091,-0.3947476490265448,0.6939831886528639,-0.5072072640528185
Laporan_Last2_Mean,0.695839340046022,-0.7030944028564264,0.6292489163673831,-0.21773504180689662,0.4669638325988171,0.6944998695943709,-0.33877571270976126,0.5882127190707478,-0.46648659020334027,0.3796976269423508,-0.22293865001728347,0.3351473003719781,-0.3351739590714147,0.9041373936423495,-0.13510950849260175,0.8072531344684518,0.7577355923990969,1.0,0.29888475699781936,0.5133190348216308,-0.5184488483836303,-0.022501473718747646,0.7781024661922247,0.6585319125089708,0.7897299049058184,0.8048395328358002,-0.6534572315857358,0.746057678645048,-0.2180907009838105
Laporan_Trend,-0.16665756788836444,-0.06584326030953819,-0.06784730789092264,-0.3270550876048263,-0.13612725795936056,-0.18378425424316677,0.11360426685521845,-0.212483538368067,0.059609004870712745,-0.1805408555631183,-0.3300539191356033,-0.15212952941512825,0.09933425264788343,0.00019695463660647988,-0.3248202704467372,0.08376201219237855,-0.1702009358131435,0.29888475699781936,1.0,-0.16097741176314395,0.13077037282402645,0.13892803138066068,-0.07417433325287302,-0.14732798467036287,-0.1681170536067079,-0.12440735471641626,-0.12637197144003792,0.026468080912812837,0.42915731763821413
Attendance_PreFinal_Rate,0.802242625279059,-0.556996854663255,0.6523903990171884,0.29385652725995265,0.782872538083783,0.6498568555247192,-0.05417969894237729,0.884712058973828,-0.6290480967954255,0.6578130778424829,0.2910720032290851,0.8342251004132096,0.004760298634508735,0.5953497385365696,0.12431163975327836,0.46283013722225913,0.5892034165203428,0.5133190348216308,-0.16097741176314395,1.0,-0.9716898932732131,-0.20259765987365827,0.70272429949767,0.8750928383091398,0.6380803720048158,0.8065926069411052,-0.4286197054313677,0.8358451172075155,-0.06237494688492067
