feature,importance
TP_First2_Mean,0.21076103126249113
Laporan_Max,0.11161728525106776
Respons_Std,0.07641500950694444
Absence_Count,0.07165152779447209
Attendance_PreFinal_Rate,0.06628967917200398
Laporan_Mean,0.04349264703713555
Performance_Std,0.031795731853351814
Respons_Trend,0.030387835773506244
Respons_Last2_Mean,0.029635731267938097
TP_Last2_Mean,0.029098440880636678
TP_Std,0.028726135287252666
Performance_Late_Mean,0.02808973133401749
Laporan_Min,0.02679089298199342
Laporan_Trend,0.022934203758743183
Laporan_Std,0.021956364536381705
TP_Trend,0.021358783334347896
TP_Max,0.021268471194120668
Respons_Max,0.01794652688162771
Laporan_Last2_Mean,0.015268389639629959
Respons_Mean,0.015052231070066667
Performance_Trend,0.014824072159706226
TP_Min,0.012206319882716907
Performance_Mean,0.011907646046145377
Respons_Min,0.01112285862553859
Laporan_Completion_Rate,0.010163079673015333
TP_Completion_Rate,0.007060190746179948
Respons_Completion_Rate,0.006131497544238929
TP_Mean,0.006047685504729444
Partial_Attendance_Count,0.0
