population,scenario,model,best_threshold,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_lower,cv_accuracy_ci_upper,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_lower,cv_balanced_accuracy_ci_upper,cv_precision_mean,cv_precision_std,cv_precision_ci_lower,cv_precision_ci_upper,cv_recall_mean,cv_recall_std,cv_recall_ci_lower,cv_recall_ci_upper,cv_f1_mean,cv_f1_std,cv_f1_ci_lower,cv_f1_ci_upper,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_lower,cv_roc_auc_ci_upper,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_recall_belum_kompeten,best_params
P0,S1,Dummy,0.3,0.5236923076923077,0.007384615384615367,0.5205812317803983,0.5268033836042171,0.5,0.0,,,0.26184615384615384,0.0036923076923076835,0.26029061589019914,0.26340169180210854,0.5,0.0,,,0.3436842105263158,0.003157894736842093,0.3423538162218809,0.34501460483075075,0.5,0.0,,,0.53125,0.5,0.265625,0.5,0.3469387755102041,0.5,1.0,{}
P0,S1,LogisticRegression,0.3,0.6269538461538461,0.10931015100358263,0.5809024054216841,0.673005286886008,0.6312454212454213,0.10991688318540395,0.5849383693842387,0.6775524731066038,0.6451428503556987,0.12057769163573838,0.5943444901942339,0.6959412105171636,0.6312454212454213,0.10991688318540395,0.5849383693842387,0.6775524731066038,0.6213165156659511,0.11004937676292623,0.5749536453828138,0.6676793859490885,0.7510439560439559,0.10453933618137261,0.7070024191863382,0.7950854929015736,0.59375,0.6058823529411765,0.6227272727272727,0.6058823529411765,0.5835835835835836,0.6529411764705882,0.4117647058823529,"{""model__class_weight"": null, ""model__C"": 10.0}"
P0,S1,DecisionTree,0.5,0.6632000000000001,0.09195720126181159,0.6244592100100109,0.7019407899899893,0.6618315018315017,0.09159817291537027,0.623241967442804,0.7004210362201995,0.6715187059242786,0.09784233561453408,0.6302985586801189,0.7127388531684384,0.6618315018315017,0.09159817291537027,0.623241967442804,0.7004210362201995,0.6562101054274495,0.09623282303972468,0.6156680321980633,0.6967521786568357,0.7259615384615384,0.09563986998514763,0.6856692713315776,0.7662538055914992,0.625,0.6196078431372549,0.6234817813765182,0.6196078431372549,0.6190476190476191,0.6784313725490196,0.7058823529411765,"{""model__min_samples_split"": 4, ""model__min_samples_leaf"": 4, ""model__max_features"": ""log2"", ""model__max_depth"": 9, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}"
P0,S1,RandomForest,0.5,0.6887384615384616,0.07667494749893537,0.6564359556140748,0.7210409674628485,0.6884798534798535,0.0768880611040841,0.6560875645987456,0.7208721423609614,0.6951029934118169,0.07954375224856955,0.6615918843459377,0.7286141024776961,0.6884798534798535,0.0768880611040841,0.6560875645987456,0.7208721423609614,0.6849114055410037,0.07880779506770053,0.6517103490016743,0.7181124620803331,0.7807051282051282,0.07472679871677283,0.7492233608613352,0.8121868955489211,0.65625,0.6490196078431372,0.6583333333333333,0.6490196078431372,0.6476476476476476,0.6803921568627451,0.7647058823529411,"{""model__n_estimators"": 800, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 3, ""model__max_features"": ""log2"", ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": null}"
P0,S2,Dummy,0.3,0.5236923076923077,0.007384615384615367,0.5205812317803983,0.5268033836042171,0.5,0.0,,,0.26184615384615384,0.0036923076923076835,0.26029061589019914,0.26340169180210854,0.5,0.0,,,0.3436842105263158,0.003157894736842093,0.3423538162218809,0.34501460483075075,0.5,0.0,,,0.53125,0.5,0.265625,0.5,0.3469387755102041,0.5,1.0,{}
P0,S2,LogisticRegression,0.55,0.6982769230769231,0.08403810913497665,0.6628723795231822,0.733681466630664,0.6979853479853482,0.08415247686110695,0.6625326222773132,0.7334380736933831,0.7076197609579961,0.08696726317405715,0.6709811896182934,0.7442583322976987,0.6979853479853482,0.08415247686110695,0.6625326222773132,0.7334380736933831,0.6938104036337919,0.08590888131402623,0.6576177196069484,0.7300030876606354,0.7702564102564102,0.09161686592964749,0.7316590006591323,0.8088538198536882,0.65625,0.6490196078431372,0.6583333333333333,0.6490196078431372,0.6476476476476476,0.6882352941176471,0.7647058823529411,"{""model__class_weight"": null, ""model__C"": 10.0}"
P0,S2,DecisionTree,0.45,0.7059692307692308,0.08466775442311703,0.670299422988857,0.7416390385496046,0.7115934065934065,0.08447814060366707,0.6760034815090883,0.7471833316777248,0.7238791372026667,0.0868163184054522,0.6873041576154356,0.7604541167898978,0.7115934065934065,0.08447814060366707,0.6760034815090883,0.7471833316777248,0.7016303270331755,0.08920761474799493,0.6640479145517384,0.7392127395146126,0.7288736263736263,0.09054587656833572,0.6907274155227081,0.7670198372245445,0.71875,0.7196078431372549,0.71875,0.7196078431372549,0.718475073313783,0.696078431372549,0.7058823529411765,"{""model__min_samples_split"": 10, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 3, ""model__criterion"": ""entropy"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.0}"
P0,S2,RandomForest,0.5,0.6763076923076923,0.07708168264131607,0.6438338323129738,0.7087815523024108,0.6762454212454213,0.07711165616518159,0.6437589336589818,0.7087319088318608,0.6813132406808877,0.07780608280057744,0.6485341970349316,0.7140922843268438,0.6762454212454213,0.07711165616518159,0.6437589336589818,0.7087319088318608,0.6726688920358336,0.07936277073948157,0.6392340289467724,0.7061037551248948,0.7715201465201466,0.0737766812651071,0.7404386556109964,0.8026016374292967,0.6875,0.6823529411764706,0.688259109311741,0.6823529411764706,0.6825396825396826,0.6725490196078431,0.7647058823529411,"{""model__n_estimators"": 200, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8, ""model__criterion"": ""log_loss"", ""model__class_weight"": null}"
P0,S3,Dummy,0.3,0.5236923076923077,0.007384615384615367,0.5205812317803983,0.5268033836042171,0.5,0.0,,,0.26184615384615384,0.0036923076923076835,0.26029061589019914,0.26340169180210854,0.5,0.0,,,0.3436842105263158,0.003157894736842093,0.3423538162218809,0.34501460483075075,0.5,0.0,,,0.53125,0.5,0.265625,0.5,0.3469387755102041,0.5,1.0,{}
P0,S3,LogisticRegression,0.5,0.7030769230769232,0.09856436937982509,0.6615525891232616,0.7446012570305847,0.7039377289377289,0.09856245441648345,0.6624142017419029,0.7454612561335549,0.7118710521504639,0.09985841814884432,0.669801546411347,0.7539405578895807,0.7039377289377289,0.09856245441648345,0.6624142017419029,0.7454612561335549,0.6998569902749813,0.09950587894052391,0.6579360063182302,0.7417779742317323,0.7778937728937728,0.09555692265837497,0.7376364507699957,0.8181510950175499,0.625,0.6235294117647059,0.6235294117647059,0.6235294117647059,0.6235294117647059,0.6647058823529411,0.6470588235294118,"{""model__class_weight"": null, ""model__C"": 10.0}"
P0,S3,DecisionTree,0.4,0.6539692307692309,0.08631075820689167,0.6176072394114258,0.6903312221270359,0.6508608058608059,0.08543697117104888,0.614866933579996,0.6868546781416157,0.6657624464458829,0.09065791128737617,0.6275690363167965,0.7039558565749693,0.6508608058608059,0.08543697117104888,0.614866933579996,0.6868546781416157,0.6434700944424351,0.09065702350627637,0.6052770583280063,0.6816631305568639,0.7100824175824176,0.07233365363907956,0.6796088619892904,0.7405559731755449,0.6875,0.6901960784313725,0.6901960784313725,0.6901960784313725,0.6875,0.7215686274509804,0.6470588235294118,"{""model__min_samples_split"": 6, ""model__min_samples_leaf"": 5, ""model__max_features"": null, ""model__max_depth"": 4, ""model__criterion"": ""gini"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.01}"
P0,S3,RandomForest,0.5,0.7159384615384614,0.07896116040225729,0.6826727934827279,0.7492041295941949,0.7166666666666666,0.07809342117617855,0.6837665697969012,0.7495667635364319,0.7210073886381936,0.0765714532927253,0.68874848394626,0.7532662933301272,0.7166666666666666,0.07809342117617855,0.6837665697969012,0.7495667635364319,0.7133433877533917,0.08151281270435413,0.6790027301959489,0.7476840453108344,0.7716117216117216,0.0792186471991008,0.7382375765494587,0.8049858666739846,0.71875,0.7117647058823529,0.725,0.7117647058823529,0.7117117117117118,0.6803921568627451,0.8235294117647058,"{""model__n_estimators"": 200, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": null, ""model__criterion"": ""entropy"", ""model__class_weight"": ""balanced_subsample""}"
P0,S4,Dummy,0.3,0.5236923076923077,0.007384615384615367,0.5205812317803983,0.5268033836042171,0.5,0.0,,,0.26184615384615384,0.0036923076923076835,0.26029061589019914,0.26340169180210854,0.5,0.0,,,0.3436842105263158,0.003157894736842093,0.3423538162218809,0.34501460483075075,0.5,0.0,,,0.53125,0.5,0.265625,0.5,0.3469387755102041,0.5,1.0,{}
P0,S4,LogisticRegression,0.55,0.7188923076923078,0.06401556023860701,0.6919230943923671,0.7458615209922486,0.7197802197802197,0.06270145918294713,0.6933646261242479,0.7461958134361915,0.7296906428624694,0.0633477366344751,0.7030027779903083,0.7563785077346306,0.7197802197802197,0.06270145918294713,0.6933646261242479,0.7461958134361915,0.7151270545207923,0.06658486698856818,0.6870754140497949,0.7431786949917897,0.7891941391941393,0.07387709483927396,0.758070344896722,0.8203179334915566,0.6875,0.6784313725490196,0.696969696969697,0.6784313725490196,0.6761133603238867,0.7235294117647059,0.8235294117647058,"{""model__class_weight"": null, ""model__C"": 0.1}"
P0,S4,DecisionTree,0.45,0.7188307692307694,0.06330731657052718,0.692159932989181,0.7455016054723578,0.7147252747252747,0.06347620199639831,0.6879832884842707,0.7414672609662787,0.7327978916508329,0.0686448003693925,0.7038784186946702,0.7617173646069956,0.7147252747252747,0.06347620199639831,0.6879832884842707,0.7414672609662787,0.7115941892137506,0.06585905592284998,0.6838483267969302,0.739340051630571,0.7557326007326007,0.07662278622750322,0.7234520699100486,0.7880131315551528,0.6875,0.6784313725490196,0.696969696969697,0.6784313725490196,0.6761133603238867,0.6509803921568628,0.8235294117647058,"{""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": ""sqrt"", ""model__max_depth"": 2, ""model__criterion"": ""log_loss"", ""model__class_weight"": null, ""model__ccp_alpha"": 0.02}"
P0,S4,RandomForest,0.5,0.7333538461538462,0.05977111372145377,0.708172782220007,0.7585349100876855,0.7328021978021979,0.060305529040965054,0.7073959892208864,0.7582084063835094,0.7409181534839431,0.058943981261695554,0.7160855534493711,0.7657507535185151,0.7328021978021979,0.060305529040965054,0.7073959892208864,0.7582084063835094,0.7299222511277742,0.062285150103473255,0.7036820449607376,0.7561624572948108,0.8111721611721611,0.06512180279783727,0.7837368972521812,0.8386074250921409,0.6875,0.6823529411764706,0.688259109311741,0.6823529411764706,0.6825396825396826,0.7137254901960784,0.7647058823529411,"{""model__n_estimators"": 200, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 3, ""model__max_features"": 1.0, ""model__max_depth"": 3, ""model__criterion"": ""log_loss"", ""model__class_weight"": ""balanced""}"
